iid,batch,sex,treat,excl,exp_405,pow_405,exp_477,pow_477,exp_545,pow_545,exp_640,pow_640
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,20260708,herm,HS,False,9.0,48.0,30.0,59.0,200.0,93.0,50.0,61.0
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,20260708,male,HS,False,9.0,48.0,20.0,59.0,200.0,94.0,50.0,61.0
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,20260708,male,HS,False,9.0,48.0,9.6,59.0,90.0,93.0,50.0,61.0
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,20260708,male,HS,False,9.0,48.0,30.0,59.0,200.0,93.0,50.0,61.0
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,20260708,male,HS,False,9.0,48.0,30.0,59.0,200.0,93.0,50.0,61.0
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,20260708,herm,noHS,False,7.0,45.0,20.0,60.0,90.0,91.0,100.0,87.0
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,20260708,male,noHS,False,10.0,45.0,30.0,50.0,200.0,91.0,30.0,50.0
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,20260708,male,noHS,False,10.0,45.0,30.0,54.0,90.0,91.0,9.6,50.0
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,20260708,male,noHS,False,10.0,45.0,20.0,54.0,90.0,91.0,20.0,53.0
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,20260708,male,noHS,False,7.0,45.0,20.0,72.0,100.0,89.0,30.0,61.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,20260622,herm,HS,False,40.0,62.0,20.0,53.0,300.0,97.0,40.0,62.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,20260622,herm,HS,True,40.0,62.0,10.0,84.0,200.0,97.0,70.0,69.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,20260622,herm,HS,True,40.0,62.0,30.0,84.0,200.0,97.0,40.0,57.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_07,20260622,male,HS,True,40.0,62.0,30.0,84.0,300.0,97.0,40.0,57.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,20260622,male,HS,False,30.0,62.0,20.0,53.0,300.0,97.0,40.0,62.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_11,20260622,male,HS,True,30.0,62.0,20.0,53.0,300.0,97.0,40.0,62.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_13,20260622,male,HS,True,20.0,62.0,20.0,53.0,300.0,97.0,20.0,62.0
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_15,20260622,male,HS,True,40.0,62.0,30.0,84.0,200.0,97.0,20.0,57.0
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,20260622,herm,noHS,True,40.0,62.0,40.0,84.0,200.0,97.0,40.0,57.0
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,20260622,herm,noHS,True,40.0,62.0,10.0,84.0,200.0,97.0,40.0,57.0
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,20260622,herm,noHS,False,40.0,62.0,10.0,84.0,200.0,97.0,70.0,69.0
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,20260622,male,noHS,True,40.0,62.0,10.0,84.0,200.0,97.0,70.0,69.0
