image_id,sex,treat,batch,exp_545,bg,G,N,C,n_gran,gran_vs_nuc,cyto_vs_nuc,gran_abs_per_ms,nuc_abs_per_ms,PC_plain
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,20260708,200.0,104.0,107.5,99.7,53.2,3045,1.0781,0.5334,0.5376,0.4986,2.0214
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,20260708,200.0,104.0,160.0,129.5,67.9,3220,1.2354,0.5246,0.7999,0.6475,2.355
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,20260708,90.0,92.0,89.3,82.0,43.2,4168,1.0888,0.5269,0.9924,0.9115,2.0663
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,20260708,200.0,103.0,104.2,93.0,62.1,1935,1.1199,0.6677,0.5208,0.465,1.6774
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,20260708,200.0,104.0,204.2,193.4,89.1,3564,1.0559,0.4606,1.0211,0.967,2.2926
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,20260708,90.0,93.0,55.6,93.5,41.1,8176,0.5942,0.4394,0.6176,1.0394,1.3523
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,20260708,200.0,106.0,135.7,167.4,75.1,3084,0.8107,0.4487,0.6787,0.8372,1.8069
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,20260708,90.0,93.0,65.2,96.7,39.1,3852,0.6739,0.4044,0.724,1.0744,1.6664
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,20260708,90.0,92.0,69.9,76.9,41.6,4077,0.9096,0.5412,0.777,0.8542,1.6806
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,20260708,100.0,94.0,69.4,75.1,40.8,2701,0.9233,0.5436,0.6937,0.7513,1.6986
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,20260622,300.0,122.0,170.3,214.4,95.1,4477,0.7945,0.4437,0.5677,0.7146,1.7906
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,20260622,300.0,117.0,183.2,202.9,92.3,3750,0.9032,0.4548,0.6108,0.6763,1.9861
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,20260622,200.0,107.0,139.2,210.0,99.8,4979,0.6632,0.4754,0.6962,1.0498,1.3951
