geno,Sex,treat,zone,value,readout
N2,herm,HS,dist,3.0122699386503067,RAD-51
N2,herm,HS,2,4.759036144578313,RAD-51
N2,herm,HS,mid,2.871345029239766,RAD-51
N2,herm,HS,4,1.736842105263158,RAD-51
N2,herm,HS,prox,1.4790419161676647,RAD-51
N2,herm,noHS,dist,1.2708333333333333,RAD-51
N2,herm,noHS,2,4.22972972972973,RAD-51
N2,herm,noHS,mid,3.809090909090909,RAD-51
N2,herm,noHS,4,2.9523809523809526,RAD-51
N2,herm,noHS,prox,1.7403846153846154,RAD-51
N2,male,HS,dist,16.219745222929937,RAD-51
N2,male,HS,2,17.570247933884296,RAD-51
N2,male,HS,mid,14.71264367816092,RAD-51
N2,male,HS,4,15.93170731707317,RAD-51
N2,male,HS,prox,16.870967741935484,RAD-51
N2,male,noHS,dist,6.318181818181818,RAD-51
N2,male,noHS,2,5.2243589743589745,RAD-51
N2,male,noHS,mid,3.41025641025641,RAD-51
N2,male,noHS,4,1.7843137254901962,RAD-51
N2,male,noHS,prox,0.5966386554621849,RAD-51
msh5,herm,HS,dist,10.5234375,RAD-51
msh5,herm,HS,2,14.437689969604863,RAD-51
msh5,herm,HS,mid,15.88109756097561,RAD-51
msh5,herm,HS,4,16.246031746031747,RAD-51
msh5,herm,HS,prox,16.38738738738739,RAD-51
msh5,herm,noHS,dist,4.311512415349887,RAD-51
msh5,herm,noHS,2,7.686893203883495,RAD-51
msh5,herm,noHS,mid,10.015748031496063,RAD-51
msh5,herm,noHS,4,7.647619047619048,RAD-51
msh5,herm,noHS,prox,2.613899613899614,RAD-51
msh5,male,HS,dist,14.938053097345133,RAD-51
msh5,male,HS,2,17.705,RAD-51
msh5,male,HS,mid,18.642857142857142,RAD-51
msh5,male,HS,4,18.82456140350877,RAD-51
msh5,male,HS,prox,18.61,RAD-51
msh5,male,noHS,dist,8.725806451612904,RAD-51
msh5,male,noHS,2,6.354285714285714,RAD-51
msh5,male,noHS,mid,4.006756756756757,RAD-51
msh5,male,noHS,4,1.8246753246753247,RAD-51
msh5,male,noHS,prox,1.2,RAD-51
syp2,herm,HS,dist,4.711538461538462,RAD-51
syp2,herm,HS,2,4.859154929577465,RAD-51
syp2,herm,HS,mid,2.1272727272727274,RAD-51
syp2,herm,HS,4,1.2,RAD-51
syp2,herm,HS,prox,1.9555555555555555,RAD-51
syp2,herm,noHS,dist,2.525925925925926,RAD-51
syp2,herm,noHS,2,4.714285714285714,RAD-51
syp2,herm,noHS,mid,3.5822784810126582,RAD-51
syp2,herm,noHS,4,2.3978494623655915,RAD-51
syp2,herm,noHS,prox,1.4,RAD-51
syp2,male,HS,dist,15.335443037974683,RAD-51
syp2,male,HS,2,19.855670103092784,RAD-51
syp2,male,HS,mid,12.696629213483146,RAD-51
syp2,male,HS,4,16.147540983606557,RAD-51
syp2,male,HS,prox,20.944444444444443,RAD-51
syp2,male,noHS,dist,6.604519774011299,RAD-51
syp2,male,noHS,2,5.033333333333333,RAD-51
syp2,male,noHS,mid,4.0625,RAD-51
syp2,male,noHS,4,2.7837837837837838,RAD-51
syp2,male,noHS,prox,1.7049180327868851,RAD-51
syp2_syp3,herm,HS,dist,7.145522388059701,RAD-51
syp2_syp3,herm,HS,2,5.768518518518518,RAD-51
syp2_syp3,herm,HS,mid,4.013513513513513,RAD-51
syp2_syp3,herm,HS,4,7.097345132743363,RAD-51
syp2_syp3,herm,HS,prox,8.966386554621849,RAD-51
syp2_syp3,herm,noHS,dist,3.226993865030675,RAD-51
