image_id,date,genotype,treatment,sex,rep,shell_pearson,shell_m1,shell_m2,region,source_file
20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_herm_002,20260625,n2,noHS,herm,002,0.09741678434317284,0.00829043211866402,0.04862377061090241,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_herm_002__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_herm_004,20260625,n2,noHS,herm,004,-9.5407005959994e-4,0.01003887903003884,0.02905270056423933,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_herm_004__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_herm_007,20260625,n2,noHS,herm,007,0.10047070750479996,0.0097041267800831,0.04098466790135147,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_herm_007__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_male_001,20260625,n2,noHS,male,001,0.08510839509400162,0.00810423045464254,0.0204823707734476,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_male_001__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_male_002,20260625,n2,noHS,male,002,0.05833413294171884,0.01764821277380679,0.02471400923573327,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_noHS_male_002__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_HS_herm_013,20260625,n2,HS,herm,013,0.0047297118673351,0.01248432383811316,0.03126690815608579,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_HS_herm_013__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_HS_herm_016,20260625,n2,HS,herm,016,-0.0158534882867867,0.02306597130263071,0.06183091009024298,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_HS_herm_016__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_010,20260625,n2,HS,male,010,-0.03000587558932107,0.0597847285911052,0.03689517789383417,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_010__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_017,20260625,n2,HS,male,017,0.25054046858219875,0.03756091090415999,0.07794446359771864,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_017__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_018,20260625,n2,HS,male,018,0.13320526336152694,0.02310291468224709,0.06441228754431694,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_018__coloc.csv
20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_019,20260625,n2,HS,male,019,0.160068700837734,0.02466391092635706,0.05383685308886543,lamin_shell,20260625_N2_IF_dryice_pgl_syp3_lmn_HS_male_019__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,20260708,ccw77,noHS,herm,004,0.210374052256214,0.00813634301065296,0.03871469790767657,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,20260622,ccw77,noHS,herm,01,0.35265385366280017,0.0172014601091571,0.06405209600539183,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,20260622,ccw77,noHS,herm,02,0.4796684128311886,0.02505048476414392,0.05821566316484013,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,20260622,ccw77,noHS,herm,03,0.30805564077332775,0.01092219321698352,0.03400472241107175,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,20260708,ccw77,noHS,male,001,0.44747994407141006,0.02455974758319168,0.03352068445137104,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,20260708,ccw77,noHS,male,002,0.3612336332539211,0.01678452352696909,0.03888495324919015,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,20260708,ccw77,noHS,male,003,0.31180999704154794,0.01698510007195604,0.05048120102721461,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,20260708,ccw77,noHS,male,006,0.3091450032059366,0.01508087198221261,0.3491642255270017,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,20260622,ccw77,noHS,male,05,0.3521273058219179,0.00534083605717702,0.04227527012760618,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,20260708,ccw77,HS,herm,011,0.394,0.0137,0.0464,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,20260622,ccw77,HS,herm,08,0.5250426620613223,0.03975261421028069,0.07638434703039937,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,20260622,ccw77,HS,herm,14,0.4282647941400831,0.02032178182761983,0.01842602537631772,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14__coloc.csv
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,20260622,ccw77,HS,herm,16,0.3414323940986003,0.01093452687592418,0.8570504086154397,lamin_shell,20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16__coloc.csv
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,20260708,ccw77,HS,male,008,0.529,0.0848,0.1013,lamin_shell,20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008__coloc.csv
