image_id,sex,treat,n_gran,PC_current,PC_guard,PC_median,PC_bg_p1,PC_bg_p3,PC_bg_p5,PC_bg_outworm
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,3045,1.7895,1.905,1.9807,1.7222,1.7895,1.8365,2.3169
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,3220,2.0222,2.1863,2.2095,1.957,2.0222,2.0658,2.4089
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,4168,1.8677,2.0434,2.0923,1.7939,1.8677,1.91,2.2908
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,1935,1.5453,1.5729,1.645,1.5039,1.5453,1.5638,1.7755
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,3564,1.8519,2.0584,1.9901,1.8102,1.8519,1.8792,2.0502
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,8176,1.1665,1.192,1.2098,1.1504,1.1665,1.176,1.2601
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,3084,1.407,1.4431,1.455,1.3851,1.407,1.4214,1.5453
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,3852,1.2953,1.3471,1.3857,1.2701,1.2953,1.3099,1.4629
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,4077,1.4501,1.5318,1.5524,1.4121,1.4501,1.4718,1.6433
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,2701,1.4742,1.5464,1.5839,1.4328,1.4742,1.4981,1.7458
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,4477,1.4453,1.4919,1.5118,1.4157,1.4453,1.4594,1.6043
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,3750,1.5176,1.619,1.5724,1.4902,1.5176,1.5325,1.6877
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,4979,1.1438,1.1752,1.1746,1.1377,1.1438,1.1477,1.1789
