image_id,sex,treat,batch,n_gran,frac_excess_gt_0.25,frac_excess_gt_0.5,frac_excess_gt_1.0,excess_p50,excess_p90,excess_p99
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,20260708,3045,0.4365,0.2401,0.0328,0.1928,0.7906,1.1787
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,20260708,3220,0.518,0.3466,0.1261,0.2692,1.0607,1.5595
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,20260708,4168,0.4822,0.292,0.0775,0.2302,0.9068,1.4636
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,20260708,1935,0.4744,0.2693,0.0269,0.2161,0.7631,1.1407
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,20260708,3564,0.4394,0.1866,0.0154,0.2049,0.6555,1.0608
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,20260708,8176,0.0679,0.0056,0.0004,0.0474,0.2119,0.4214
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,20260708,3084,0.2451,0.0353,0.0003,0.1075,0.3766,0.6388
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,20260708,3852,0.1765,0.0262,0.0008,0.0787,0.3247,0.6149
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,20260708,4077,0.3709,0.1148,0.0056,0.1638,0.5234,0.871
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,20260708,2701,0.4243,0.1499,0.0081,0.2008,0.582,0.95
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,20260622,4477,0.3357,0.0547,0.0004,0.1551,0.4333,0.6782
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,20260622,3750,0.3581,0.1389,0.0003,0.1648,0.5666,0.803
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,20260622,4979,0.1111,0.01,0.001,0.0468,0.263,0.496
