short,grp,raw,corrected,p90_raw,p90_corr
MN1_HS_herm_08,herm HS,0.055865921787709494,0.05229050279329609,0.4361922003018853,0.4257470133156599
n1_HS_herm_011,herm HS,0.23084711441106986,0.22477219034762067,0.7531172499769765,0.7438592859945605
1_noHS_herm_03,herm noHS,0.01004823151125402,0.008842443729903537,0.2631224201100407,0.24892271108896658
_noHS_herm_004,herm noHS,0.005210857973824527,0.005089675230247213,0.21233870513581818,0.20871798426969906
MN1_HS_male_10,male HS,0.13699360341151387,0.13113006396588486,0.5623560769061431,0.5516550134487318
n1_HS_male_008,male HS,0.3153918791312559,0.3103556814604973,0.9884463188632334,0.9763655934672186
n1_HS_male_009,male HS,0.2365328109696376,0.23065621939275222,0.7861246247614572,0.776579541673878
n1_HS_male_010,male HS,0.21671309192200558,0.2116991643454039,0.6744252674501252,0.6662500728948146
n1_HS_male_013,male HS,0.18806053811659193,0.18161434977578475,0.6565510868790881,0.6478489708933177
_noHS_male_001,male noHS,0.03565640194489465,0.03306320907617504,0.375894394751057,0.36824515817131315
_noHS_male_002,male noHS,0.021162603803911065,0.02035896062148406,0.2996650703616885,0.29319259474612674
_noHS_male_003,male noHS,0.03511874684183931,0.0325922182920667,0.36261358685888556,0.35327221124166946
_noHS_male_006,male noHS,0.1386696730552424,0.1319052987598647,0.5679896991890225,0.5552340362678867
