short,grp,lit_2.5um,lit_1.0um,n_1um
MN1_HS_herm_08,herm HS,0.05472414563323654,0.05574826560951437,4036
n1_HS_herm_011,herm HS,0.2400656814449918,0.2608695652173913,2714
1_noHS_herm_03,herm noHS,0.01004217714400482,0.010948105977665865,4567
_noHS_herm_004,herm noHS,0.005626223091976516,0.005913356472554313,7779
MN1_HS_male_10,male HS,0.13893333333333333,0.1490299823633157,3402
n1_HS_male_008,male HS,0.34658385093167704,0.3778169014084507,2840
n1_HS_male_009,male HS,0.2919865642994242,0.30567798807363233,3857
n1_HS_male_010,male HS,0.26925064599483206,0.25603593486805165,1781
n1_HS_male_013,male HS,0.18658810325476993,0.18744313011828936,3297
_noHS_male_001,male noHS,0.035343709468223086,0.03730321697467488,2922
_noHS_male_002,male noHS,0.026220145379023882,0.027464982147761604,3641
_noHS_male_003,male noHS,0.11479028697571744,0.117,4000
_noHS_male_006,male noHS,0.14994446501295816,0.16526138279932545,2372
