image_id,sex,treat,batch,n_gran,n_no_ring_dropped,frac_excess_gt_0.25,frac_excess_gt_0.5,frac_excess_gt_1.0,excess_p50,excess_p90,excess_p99
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,20260708,2963,91,0.4171,0.2308,0.0233,0.1788,0.7531,1.1168
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,20260708,3177,40,0.4822,0.3154,0.0944,0.2284,0.9884,1.4729
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,20260708,4084,215,0.4202,0.2365,0.0477,0.1648,0.7861,1.278
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,20260708,1795,184,0.4156,0.2167,0.0111,0.1563,0.6744,1.0258
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,20260708,3568,10,0.4439,0.1881,0.0154,0.2067,0.6566,1.0672
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,20260708,8252,17,0.0677,0.0052,0.0002,0.0489,0.2123,0.4242
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,20260708,3085,1,0.2454,0.0357,0.0003,0.1066,0.3759,0.637
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,20260708,3733,96,0.1452,0.0212,0.0005,0.0568,0.2997,0.5845
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,20260708,3958,413,0.2036,0.0351,0.0013,0.072,0.3626,0.6602
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,20260708,2661,70,0.4123,0.1387,0.0064,0.1938,0.568,0.9306
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,20260622,4475,7,0.3388,0.0559,0.0002,0.159,0.4362,0.6818
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,20260622,3752,4,0.3539,0.137,0.0003,0.1623,0.5624,0.8016
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,20260622,4976,2,0.1107,0.01,0.001,0.046,0.2631,0.4957
