image_id,imaris_pearson
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,0.69
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,0.376
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,0.469
