GonadID,Genotype,Sex,treatment,ntX,RAD51
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1167953928115208,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.07592209307427186,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.05215859373352266,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1043970386742016,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1518352845967574,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.189999275716475,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.154984459439886,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.008130544011243183,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.07180505389990932,7
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2030685159759996,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.02513344909853236,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.08101910305171402,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2070271027195569,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1280637849389419,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1660258863480853,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.004792165383431029,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1711434884318888,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.04020459988887214,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1060649341653645,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.07334164681171107,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1812744267161055,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1371040558211892,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.06448554492204055,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1792092881303794,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.109462588207167,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1506584018777713,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.003453423827895947,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.09700022043402068,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.05810972256506183,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.02910036540518907,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2059524163600917,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.03609842043190748,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1387493446354434,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.01218312049265982,14
