kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,2,8.5,1.5,105.9,25.8,1.0,1.0,1.0,,,,
lamin_candidate,3,14.9,2.4,89.1,21.6,0.732,0.732,1.0,,,,
lamin_candidate,4,7.6,1.9,99.4,22.5,0.922,0.922,1.0,,,,
lamin_candidate,9,6.0,1.7,77.9,25.8,0.75,0.75,1.0,,,,
lamin_candidate,10,7.2,1.6,89.6,25.1,1.0,1.0,1.0,,,,
lamin_candidate,11,11.6,2.2,90.6,32.7,0.998,0.998,1.0,,,,
lamin_candidate,12,5.8,2.2,93.5,18.3,0.846,0.846,1.0,,,,
lamin_candidate,13,14.8,1.7,101.6,25.0,0.424,0.424,0.43,,,,
lamin_candidate,18,11.5,2.2,118.3,48.4,1.0,1.0,1.0,,,,
lamin_candidate,21,24.4,2.0,73.8,28.5,0.795,0.795,1.0,,,,
lamin_candidate,22,17.2,1.7,83.8,24.5,0.787,0.787,1.0,,,,
lamin_candidate,23,5.2,1.5,85.7,28.1,1.0,1.0,1.0,,,,
lamin_candidate,24,8.6,2.7,88.2,28.5,0.882,0.882,1.0,,,,
lamin_candidate,27,15.3,2.0,95.2,21.7,0.492,0.492,1.0,,,,
lamin_candidate,29,11.7,2.2,97.8,36.5,0.956,0.956,1.0,,,,
lamin_candidate,30,9.4,2.0,115.5,62.2,0.979,0.979,1.0,,,,
lamin_candidate,33,9.7,2.0,80.9,21.7,0.937,0.937,1.0,,,,
lamin_candidate,35,14.2,2.6,108.4,76.2,1.0,1.0,1.0,,,,
lamin_candidate,36,11.0,2.2,109.8,65.5,1.0,1.0,1.0,,,,
lamin_candidate,37,16.5,2.5,114.6,73.4,1.0,1.0,1.0,,,,
lamin_candidate,38,16.4,2.7,117.9,78.7,1.0,1.0,1.0,,,,
lamin_candidate,39,12.5,2.7,119.0,34.0,1.0,1.0,1.0,,,,
lamin_candidate,45,13.7,2.8,80.0,18.9,0.69,0.69,0.989,,,,
lamin_candidate,46,13.7,2.8,106.1,58.7,1.0,1.0,1.0,,,,
lamin_candidate,47,17.0,3.0,109.3,82.3,1.0,1.0,1.0,,,,
lamin_candidate,48,11.9,2.3,112.7,78.9,1.0,1.0,1.0,,,,
lamin_candidate,49,10.1,2.4,115.8,67.5,1.0,1.0,1.0,,,,
lamin_candidate,50,11.8,2.5,117.9,55.1,1.0,1.0,1.0,,,,
lamin_candidate,51,13.3,2.4,119.9,59.6,1.0,1.0,1.0,,,,
lamin_candidate,52,13.7,2.9,120.5,44.5,0.996,0.996,1.0,,,,
lamin_candidate,53,12.5,2.7,124.5,55.2,1.0,1.0,1.0,,,,
lamin_candidate,54,5.8,2.7,58.0,32.6,1.0,1.0,1.0,,,,
lamin_candidate,55,6.3,2.9,66.0,21.7,1.0,1.0,1.0,,,,
lamin_candidate,56,9.5,2.8,67.1,23.9,0.345,0.345,1.0,,,,
