kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,4,5.7,2.7,102.7,16.0,1.0,1.0,1.0,,,,
lamin_candidate,6,55.5,3.9,262.8,10.4,0.0,1.0,0.0,,,,
lamin_candidate,8,75.6,4.6,57.1,30.1,0.003,0.003,0.003,,,,
lamin_candidate,12,5.2,2.4,154.1,49.4,1.0,1.0,1.0,,,,
lamin_candidate,21,7.0,2.9,152.4,63.7,1.0,1.0,1.0,,,,
lamin_candidate,28,18.1,3.9,75.0,24.4,0.007,0.007,0.007,,,,
lamin_candidate,30,5.0,3.0,111.7,15.6,1.0,1.0,1.0,,,,
lamin_candidate,31,5.6,3.3,142.4,19.9,1.0,1.0,1.0,,,,
lamin_candidate,32,5.2,3.1,145.6,28.3,1.0,1.0,1.0,,,,
lamin_candidate,42,5.9,3.4,115.2,13.2,1.0,1.0,1.0,,,,
lamin_candidate,43,7.6,3.7,120.0,11.5,1.0,1.0,1.0,,,,
lamin_candidate,44,6.6,3.4,132.6,12.6,1.0,1.0,1.0,,,,
lamin_candidate,45,5.1,3.4,136.8,13.4,1.0,1.0,1.0,,,,
lamin_candidate,46,6.1,3.4,138.2,23.8,1.0,1.0,1.0,,,,
lamin_candidate,47,6.2,3.3,142.4,25.8,1.0,1.0,1.0,,,,
lamin_candidate,48,6.4,3.3,143.4,41.4,1.0,1.0,1.0,,,,
lamin_candidate,50,6.3,3.5,148.4,31.8,1.0,1.0,1.0,,,,
lamin_candidate,51,6.8,3.6,151.2,41.4,1.0,1.0,1.0,,,,
lamin_candidate,59,15.8,3.8,91.6,20.5,0.833,0.833,0.943,,,,
lamin_candidate,62,5.3,3.6,105.5,12.0,1.0,1.0,1.0,,,,
lamin_candidate,63,7.7,4.1,125.2,12.7,1.0,1.0,1.0,,,,
lamin_candidate,74,5.8,3.4,107.1,16.5,1.0,1.0,1.0,,,,
lamin_candidate,75,6.0,3.9,109.4,11.3,1.0,1.0,1.0,,,,
lamin_candidate,76,6.6,3.8,134.2,5.7,1.0,1.0,1.0,,,,
lamin_candidate,77,5.6,3.8,147.4,19.8,1.0,1.0,1.0,,,,
lamin_candidate,78,6.4,3.8,156.5,57.2,1.0,1.0,1.0,,,,
lamin_candidate,83,5.4,4.0,83.1,20.9,1.0,1.0,1.0,,,,
lamin_candidate,84,9.6,3.5,85.4,22.0,0.044,0.044,0.044,,,,
lamin_candidate,87,6.4,4.1,113.2,9.7,1.0,1.0,1.0,,,,
lamin_candidate,88,7.5,4.2,150.0,37.8,1.0,1.0,1.0,,,,
lamin_candidate,90,6.9,4.1,10.6,56.4,1.0,1.0,1.0,,,,
lamin_candidate,95,8.9,4.1,68.7,27.5,0.02,0.02,0.02,,,,
lamin_candidate,101,5.4,4.3,113.9,18.3,1.0,1.0,1.0,,,,
lamin_candidate,102,6.7,4.2,124.2,8.6,1.0,1.0,1.0,,,,
lamin_candidate,103,6.9,4.5,135.5,17.0,1.0,1.0,1.0,,,,
lamin_candidate,104,5.4,4.1,138.0,29.3,1.0,1.0,1.0,,,,
lamin_candidate,105,6.9,4.0,144.4,33.8,1.0,1.0,1.0,,,,
lamin_candidate,106,5.8,4.0,168.9,72.5,1.0,1.0,1.0,,,,
lamin_candidate,108,52.0,5.7,277.2,11.5,0.0,1.0,0.0,,,,
lamin_candidate,110,13.7,4.7,86.5,19.2,0.041,0.041,0.041,,,,
lamin_candidate,115,6.5,4.4,151.9,46.6,1.0,1.0,1.0,,,,
lamin_candidate,125,6.0,4.6,117.8,16.0,1.0,1.0,1.0,,,,
lamin_candidate,126,6.2,4.6,131.7,17.0,1.0,1.0,1.0,,,,
lamin_candidate,127,5.7,4.5,142.6,12.5,1.0,1.0,1.0,,,,
lamin_candidate,128,5.4,4.4,156.1,52.5,1.0,1.0,1.0,,,,
lamin_candidate,132,5.1,4.0,16.3,53.1,0.061,0.061,0.062,,,,
lamin_candidate,133,7.9,4.3,21.6,49.8,0.006,0.006,0.006,,,,
lamin_candidate,141,6.7,4.8,128.8,14.4,1.0,1.0,1.0,,,,
lamin_candidate,146,7.6,5.5,121.0,6.0,1.0,1.0,1.0,,,,
lamin_candidate,147,7.1,5.1,145.7,15.3,1.0,1.0,1.0,,,,
lamin_candidate,148,7.2,5.0,146.9,55.9,1.0,1.0,1.0,,,,
lamin_candidate,162,5.2,5.7,109.2,18.0,1.0,1.0,1.0,,,,
lamin_candidate,163,6.5,5.3,142.4,45.1,1.0,1.0,1.0,,,,
lamin_candidate,169,8.1,5.7,121.4,14.6,1.0,1.0,1.0,,,,
lamin_candidate,170,6.4,5.6,136.9,21.1,1.0,1.0,1.0,,,,
lamin_candidate,171,5.7,5.5,148.1,26.7,1.0,1.0,1.0,,,,
lamin_candidate,177,8.1,5.9,139.3,35.6,1.0,1.0,1.0,,,,
lamin_candidate,178,8.2,5.9,152.2,68.5,1.0,1.0,1.0,,,,
lamin_candidate,180,6.8,5.9,50.3,36.9,1.0,1.0,1.0,,,,
lamin_candidate,183,7.7,5.9,129.0,6.8,1.0,1.0,1.0,,,,
lamin_candidate,184,6.7,5.9,148.2,60.8,1.0,1.0,1.0,,,,
lamin_candidate,185,6.8,5.8,151.8,30.6,1.0,1.0,1.0,,,,
lamin_candidate,191,7.7,6.4,154.5,42.7,1.0,1.0,1.0,,,,
lamin_candidate,194,5.0,6.2,14.4,57.2,1.0,1.0,1.0,,,,
lamin_candidate,197,8.3,6.6,145.9,22.0,1.0,1.0,1.0,,,,
lamin_candidate,207,8.1,6.9,125.1,5.1,1.0,1.0,1.0,,,,
lamin_candidate,208,6.9,6.8,142.9,50.8,1.0,1.0,1.0,,,,
lamin_candidate,209,8.5,6.9,151.6,34.8,1.0,1.0,1.0,,,,
lamin_candidate,210,7.4,6.9,156.3,49.2,1.0,1.0,1.0,,,,
lamin_candidate,216,6.5,7.3,135.8,27.9,1.0,1.0,1.0,,,,
lamin_candidate,217,7.5,7.8,47.9,38.8,1.0,1.0,1.0,,,,
lamin_candidate,223,6.3,7.6,126.4,18.5,1.0,1.0,1.0,,,,
lamin_candidate,224,8.6,7.6,139.4,41.5,1.0,1.0,1.0,,,,
lamin_candidate,225,7.6,7.5,140.8,9.8,1.0,1.0,1.0,,,,
lamin_candidate,226,9.1,7.6,150.7,63.5,1.0,1.0,1.0,,,,
lamin_candidate,227,6.1,7.3,156.0,75.8,1.0,1.0,1.0,,,,
lamin_candidate,228,7.5,7.5,159.3,59.3,1.0,1.0,1.0,,,,
lamin_candidate,235,6.9,7.8,110.2,9.1,1.0,1.0,1.0,,,,
lamin_candidate,236,7.4,7.6,123.7,16.4,1.0,1.0,1.0,,,,
lamin_candidate,237,7.2,7.9,130.1,17.7,1.0,1.0,1.0,,,,
lamin_candidate,238,7.6,7.5,137.8,32.1,1.0,1.0,1.0,,,,
lamin_candidate,244,10.0,8.0,153.0,39.4,1.0,1.0,1.0,,,,
lamin_candidate,249,7.6,8.1,113.7,7.4,1.0,1.0,1.0,,,,
lamin_candidate,250,7.3,8.5,147.4,24.8,1.0,1.0,1.0,,,,
lamin_candidate,252,6.7,8.1,115.8,19.0,1.0,1.0,1.0,,,,
lamin_candidate,253,7.7,8.2,147.0,52.3,1.0,1.0,1.0,,,,
lamin_candidate,256,6.8,8.5,111.1,19.1,1.0,1.0,1.0,,,,
lamin_candidate,257,9.0,8.4,124.9,8.5,1.0,1.0,1.0,,,,
lamin_candidate,258,8.6,8.8,131.3,5.2,1.0,1.0,1.0,,,,
lamin_candidate,259,6.5,8.4,134.5,16.0,1.0,1.0,1.0,,,,
lamin_candidate,260,7.5,8.6,137.6,18.6,1.0,1.0,1.0,,,,
lamin_candidate,261,10.8,8.1,143.5,29.7,1.0,1.0,1.0,,,,
lamin_candidate,262,10.7,8.8,154.2,45.9,1.0,1.0,1.0,,,,
lamin_candidate,263,10.6,9.1,157.5,54.1,1.0,1.0,1.0,,,,
lamin_candidate,270,10.7,9.0,153.0,58.0,1.0,1.0,1.0,,,,
lamin_candidate,271,9.7,9.1,160.8,61.8,1.0,1.0,1.0,,,,
lamin_candidate,280,6.9,9.0,135.6,7.0,1.0,1.0,1.0,,,,
lamin_candidate,281,5.8,8.3,167.3,68.1,1.0,1.0,1.0,,,,
lamin_candidate,286,7.4,8.8,119.9,17.9,1.0,1.0,1.0,,,,
lamin_candidate,287,10.7,9.3,142.4,36.4,1.0,1.0,1.0,,,,
lamin_candidate,288,8.5,9.2,143.5,14.1,1.0,1.0,1.0,,,,
lamin_candidate,289,9.0,9.7,143.8,22.6,1.0,1.0,1.0,,,,
lamin_candidate,290,6.8,9.2,147.0,18.5,1.0,1.0,1.0,,,,
lamin_candidate,293,9.4,9.6,148.2,38.3,1.0,1.0,1.0,,,,
lamin_candidate,294,6.9,9.5,148.0,57.7,1.0,1.0,1.0,,,,
lamin_candidate,295,8.0,10.0,149.8,28.5,1.0,1.0,1.0,,,,
lamin_candidate,296,6.8,9.4,155.6,69.4,1.0,1.0,1.0,,,,
lamin_candidate,303,9.1,9.6,121.9,6.6,1.0,1.0,1.0,,,,
lamin_candidate,304,10.1,9.4,142.8,18.2,1.0,1.0,1.0,,,,
lamin_candidate,305,11.6,9.9,151.4,54.2,1.0,1.0,1.0,,,,
lamin_candidate,306,10.4,9.8,152.5,49.7,1.0,1.0,1.0,,,,
lamin_candidate,307,9.8,9.8,161.5,66.8,1.0,1.0,1.0,,,,
lamin_candidate,318,7.9,10.0,139.1,27.8,1.0,1.0,1.0,,,,
lamin_candidate,319,7.7,10.0,139.5,23.0,1.0,1.0,1.0,,,,
lamin_candidate,320,8.1,9.9,142.6,41.7,1.0,1.0,1.0,,,,
lamin_candidate,321,7.4,9.7,143.4,45.9,1.0,1.0,1.0,,,,
lamin_candidate,322,6.2,9.6,149.2,34.5,1.0,1.0,1.0,,,,
lamin_candidate,323,9.1,9.8,151.1,42.8,1.0,1.0,1.0,,,,
lamin_candidate,324,8.0,9.6,167.0,72.0,1.0,1.0,1.0,,,,
lamin_candidate,325,5.5,9.7,169.3,86.1,1.0,1.0,1.0,,,,
lamin_candidate,330,5.0,9.6,12.4,59.6,1.0,1.0,1.0,,,,
lamin_candidate,332,41.3,9.8,66.7,27.2,0.262,0.262,0.262,,,,
lamin_candidate,333,5.5,10.4,64.8,25.4,1.0,1.0,1.0,,,,
lamin_candidate,335,6.6,9.9,73.5,22.8,1.0,1.0,1.0,,,,
lamin_candidate,338,5.2,9.8,87.7,25.6,1.0,1.0,1.0,,,,
lamin_candidate,347,11.2,10.6,154.2,63.3,1.0,1.0,1.0,,,,
lamin_candidate,359,6.7,10.1,89.2,15.2,1.0,1.0,1.0,,,,
lamin_candidate,361,5.7,9.9,98.1,16.0,0.688,0.688,0.689,,,,
lamin_candidate,363,6.7,10.2,164.9,80.1,1.0,1.0,1.0,,,,
lamin_candidate,373,18.1,10.3,23.9,51.0,0.059,0.059,0.059,,,,
lamin_candidate,376,5.0,9.9,57.2,30.4,0.05,0.05,0.05,,,,
lamin_candidate,377,5.4,10.7,67.7,28.6,1.0,1.0,1.0,,,,
lamin_candidate,382,6.3,10.0,126.2,13.9,1.0,1.0,1.0,,,,
lamin_candidate,383,5.7,9.9,132.3,9.7,1.0,1.0,1.0,,,,
lamin_candidate,384,8.4,10.2,139.3,14.8,1.0,1.0,1.0,,,,
lamin_candidate,393,10.5,10.1,76.1,25.0,0.307,0.307,0.307,,,,
lamin_candidate,394,19.6,10.5,80.6,22.2,0.666,0.666,0.668,,,,
lamin_candidate,398,10.0,10.5,147.8,48.0,1.0,1.0,1.0,,,,
lamin_candidate,402,6.1,10.9,13.9,56.7,1.0,1.0,1.0,,,,
lamin_candidate,407,9.8,10.9,145.3,32.5,1.0,1.0,1.0,,,,
lamin_candidate,410,5.3,10.5,30.4,47.2,0.263,0.263,0.263,,,,
lamin_candidate,411,9.7,10.9,50.3,34.3,0.726,0.726,0.726,,,,
lamin_candidate,421,6.2,11.3,13.2,53.8,1.0,1.0,1.0,,,,
lamin_candidate,425,5.9,10.9,134.1,14.0,1.0,1.0,1.0,,,,
lamin_candidate,428,5.5,11.7,7.1,57.6,1.0,1.0,1.0,,,,
germ_label,1,36.0,2.5,18.0,51.2,,,,242.0,295.1,0.82,1.088
germ_label,2,21.8,1.7,20.8,49.6,,,,318.5,375.1,0.849,1.432
germ_label,3,36.0,2.3,21.7,52.6,,,,266.4,325.7,0.818,1.198
germ_label,4,34.8,2.4,22.7,46.6,,,,269.7,333.8,0.808,1.212
germ_label,5,36.7,2.6,24.6,50.0,,,,270.4,324.8,0.832,1.216
germ_label,6,37.2,2.2,27.2,47.7,,,,288.5,339.3,0.85,1.297
germ_label,7,38.5,2.2,32.9,43.4,,,,257.7,381.7,0.675,1.158
germ_label,8,26.3,1.9,37.4,47.1,,,,263.4,383.2,0.687,1.184
germ_label,9,38.8,2.0,47.0,37.7,,,,240.1,326.0,0.737,1.08
germ_label,10,20.3,1.9,50.7,31.9,,,,248.1,363.9,0.682,1.115
germ_label,11,18.9,1.7,53.5,32.2,,,,264.6,350.4,0.755,1.19
germ_label,12,22.3,1.8,56.2,31.8,,,,259.6,326.7,0.795,1.167
germ_label,13,22.0,2.3,56.6,28.7,,,,259.9,332.2,0.782,1.168
germ_label,14,21.1,2.4,59.3,28.7,,,,246.4,332.4,0.741,1.108
germ_label,15,24.2,2.4,60.5,26.2,,,,251.4,315.5,0.797,1.13
germ_label,16,24.2,2.4,62.9,24.4,,,,231.2,320.4,0.722,1.039
germ_label,17,24.8,2.1,63.0,28.4,,,,260.6,325.1,0.801,1.172
germ_label,18,33.2,2.8,72.8,23.4,,,,239.6,321.0,0.746,1.077
germ_label,19,37.8,2.5,99.5,14.2,,,,251.6,282.0,0.892,1.131
germ_label,20,35.9,2.6,102.8,16.0,,,,261.2,277.2,0.942,1.174
germ_label,21,40.5,2.9,111.8,15.7,,,,208.1,260.8,0.798,0.935
germ_label,22,48.2,2.8,132.6,12.7,,,,196.8,263.0,0.748,0.885
germ_label,23,45.5,2.4,138.7,18.2,,,,217.1,284.7,0.762,0.976
germ_label,24,48.6,2.7,142.4,25.8,,,,197.8,269.3,0.734,0.889
germ_label,25,49.0,2.7,145.6,28.3,,,,188.6,261.9,0.72,0.848
germ_label,26,55.4,2.0,146.9,51.2,,,,219.5,334.9,0.655,0.987
germ_label,27,55.4,2.8,146.7,46.2,,,,203.3,294.4,0.69,0.914
germ_label,28,48.9,1.6,152.2,57.0,,,,226.3,323.7,0.699,1.017
germ_label,29,58.7,2.5,152.4,63.8,,,,207.5,292.3,0.71,0.933
germ_label,30,53.6,2.0,154.1,49.6,,,,238.3,313.2,0.761,1.072
germ_label,31,52.0,1.9,156.5,71.7,,,,258.4,382.0,0.676,1.162
germ_label,32,46.5,1.7,157.1,65.2,,,,224.8,320.0,0.702,1.01
germ_label,33,54.7,2.5,160.4,61.0,,,,229.0,315.9,0.725,1.029
germ_label,34,56.2,2.8,161.9,64.6,,,,212.0,291.2,0.728,0.953
germ_label,35,55.7,2.4,165.0,73.8,,,,237.1,332.1,0.714,1.066
germ_label,36,61.7,2.7,164.8,79.6,,,,233.8,308.7,0.757,1.051
germ_label,37,60.9,2.7,168.5,89.2,,,,249.0,358.6,0.694,1.119
germ_label,38,57.2,2.4,175.2,94.1,,,,262.6,348.5,0.753,1.181
germ_label,39,61.2,2.6,177.6,84.9,,,,270.7,369.3,0.733,1.217
germ_label,40,62.8,2.6,179.7,91.6,,,,285.2,372.3,0.766,1.282
germ_label,41,59.0,2.6,183.3,102.3,,,,295.6,414.2,0.714,1.329
germ_label,42,55.6,2.5,191.6,116.4,,,,366.5,477.2,0.768,1.648
germ_label,43,58.1,2.0,193.0,106.8,,,,289.5,416.9,0.694,1.302
germ_label,44,60.2,2.6,193.0,98.3,,,,297.6,413.8,0.719,1.338
