kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,1,12.2,2.8,117.2,67.8,1.0,1.0,1.0,,,,
lamin_candidate,2,14.0,2.4,171.4,58.7,0.997,0.997,1.0,,,,
lamin_candidate,3,9.7,2.6,145.7,66.3,0.966,0.966,1.0,,,,
lamin_candidate,4,14.3,3.0,158.0,68.3,1.0,1.0,1.0,,,,
lamin_candidate,5,18.1,2.6,163.2,62.3,1.0,1.0,1.0,,,,
lamin_candidate,6,21.4,3.5,166.7,55.6,1.0,1.0,1.0,,,,
lamin_candidate,7,15.1,3.1,178.1,56.1,1.0,1.0,1.0,,,,
lamin_candidate,8,15.2,2.8,179.6,50.3,1.0,1.0,1.0,,,,
lamin_candidate,9,17.9,3.4,146.9,75.9,1.0,1.0,1.0,,,,
lamin_candidate,10,20.0,3.1,170.1,63.8,1.0,1.0,1.0,,,,
lamin_candidate,11,6.7,3.0,105.2,69.7,0.998,0.998,1.0,,,,
lamin_candidate,12,17.4,3.4,138.9,72.3,1.0,1.0,1.0,,,,
lamin_candidate,13,16.8,3.3,140.3,65.7,1.0,1.0,1.0,,,,
lamin_candidate,14,9.3,2.8,145.4,69.9,1.0,1.0,1.0,,,,
lamin_candidate,15,7.5,3.5,110.4,69.2,0.993,0.993,1.0,,,,
lamin_candidate,16,9.2,2.8,123.1,68.1,0.914,0.914,1.0,,,,
lamin_candidate,17,14.4,3.5,123.0,77.4,1.0,1.0,1.0,,,,
lamin_candidate,18,17.9,3.3,126.5,73.2,1.0,1.0,1.0,,,,
lamin_candidate,19,15.2,3.5,129.9,67.5,1.0,1.0,1.0,,,,
lamin_candidate,20,12.7,3.1,156.3,61.9,1.0,1.0,1.0,,,,
lamin_candidate,21,9.8,2.9,173.6,53.0,1.0,1.0,1.0,,,,
lamin_candidate,22,20.2,3.7,177.2,52.1,0.005,0.005,0.005,,,,
lamin_candidate,23,5.9,3.3,63.0,87.9,0.964,0.964,1.0,,,,
lamin_candidate,25,13.7,3.4,116.6,79.6,1.0,1.0,1.0,,,,
lamin_candidate,26,17.1,3.5,135.5,67.1,1.0,1.0,1.0,,,,
lamin_candidate,27,13.3,3.4,138.6,76.0,1.0,1.0,1.0,,,,
lamin_candidate,28,8.8,3.4,150.0,61.6,1.0,1.0,1.0,,,,
lamin_candidate,29,6.8,3.1,162.0,56.0,1.0,1.0,1.0,,,,
lamin_candidate,31,16.9,3.7,132.4,73.1,1.0,1.0,1.0,,,,
lamin_candidate,32,12.5,3.3,136.8,63.7,0.025,0.025,0.025,,,,
lamin_candidate,33,15.4,4.1,141.8,80.3,1.0,1.0,1.0,,,,
