kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,1,9.3,0.9,181.9,18.9,0.742,0.742,1.0,,,,
lamin_candidate,2,18.4,0.6,185.2,22.4,0.5,0.5,0.992,,,,
lamin_candidate,10,9.9,1.8,290.7,27.8,1.0,1.0,1.0,,,,
lamin_candidate,15,10.5,1.9,275.3,12.9,1.0,1.0,1.0,,,,
lamin_candidate,16,11.5,1.9,281.9,17.9,1.0,1.0,1.0,,,,
lamin_candidate,17,8.7,2.3,285.1,13.8,1.0,1.0,1.0,,,,
lamin_candidate,21,9.6,2.4,221.1,44.2,1.0,1.0,1.0,,,,
lamin_candidate,23,6.8,2.6,245.5,37.9,1.0,1.0,1.0,,,,
lamin_candidate,24,6.6,1.6,249.0,19.9,1.0,1.0,1.0,,,,
lamin_candidate,27,10.4,1.9,259.7,21.6,1.0,1.0,1.0,,,,
lamin_candidate,28,10.1,2.4,262.9,26.4,1.0,1.0,1.0,,,,
lamin_candidate,29,11.0,2.4,265.5,14.4,1.0,1.0,1.0,,,,
lamin_candidate,30,6.7,2.2,286.6,22.6,1.0,1.0,1.0,,,,
lamin_candidate,36,14.0,2.6,217.1,44.8,0.634,0.634,0.634,,,,
lamin_candidate,38,10.0,2.3,247.9,29.1,1.0,1.0,1.0,,,,
lamin_candidate,39,6.2,2.7,248.4,39.5,1.0,1.0,1.0,,,,
lamin_candidate,40,10.3,2.7,252.6,14.0,1.0,1.0,1.0,,,,
lamin_candidate,41,8.0,2.0,271.5,17.8,1.0,1.0,1.0,,,,
lamin_candidate,42,8.3,2.3,273.6,24.0,1.0,1.0,1.0,,,,
lamin_candidate,44,6.2,2.4,287.1,30.8,1.0,1.0,1.0,,,,
lamin_candidate,49,5.1,2.1,144.5,12.4,1.0,1.0,1.0,,,,
lamin_candidate,50,6.0,2.7,177.3,17.6,0.994,0.994,1.0,,,,
lamin_candidate,55,7.4,2.2,250.5,32.9,1.0,1.0,1.0,,,,
lamin_candidate,56,7.2,2.6,256.9,10.8,1.0,1.0,1.0,,,,
lamin_candidate,57,7.9,2.6,262.8,8.2,1.0,1.0,1.0,,,,
lamin_candidate,58,10.0,2.8,269.3,10.2,1.0,1.0,1.0,,,,
lamin_candidate,60,12.2,3.2,274.3,7.6,1.0,1.0,1.0,,,,
lamin_candidate,64,10.0,3.9,206.1,16.5,1.0,1.0,1.0,,,,
lamin_candidate,67,8.5,2.7,248.0,12.8,1.0,1.0,1.0,,,,
lamin_candidate,69,8.2,3.3,268.3,6.8,1.0,1.0,1.0,,,,
lamin_candidate,70,5.9,3.1,135.9,26.4,1.0,1.0,1.0,,,,
lamin_candidate,72,7.4,2.7,213.5,26.7,1.0,1.0,1.0,,,,
lamin_candidate,73,5.2,2.5,228.6,27.3,1.0,1.0,1.0,,,,
lamin_candidate,74,11.0,3.5,241.3,13.1,1.0,1.0,1.0,,,,
lamin_candidate,75,18.3,3.2,258.2,30.8,1.0,1.0,1.0,,,,
lamin_candidate,82,6.5,3.1,135.3,8.6,1.0,1.0,1.0,,,,
lamin_candidate,85,8.4,3.7,192.9,16.1,1.0,1.0,1.0,,,,
lamin_candidate,86,6.4,3.0,214.8,18.1,1.0,1.0,1.0,,,,
lamin_candidate,87,6.5,3.2,218.4,48.4,1.0,1.0,1.0,,,,
lamin_candidate,88,5.5,3.2,224.7,47.6,1.0,1.0,1.0,,,,
lamin_candidate,89,6.0,3.4,230.1,49.9,1.0,1.0,1.0,,,,
lamin_candidate,90,12.4,2.6,265.6,9.6,0.012,0.012,0.012,,,,
lamin_candidate,92,8.8,3.3,279.9,29.8,1.0,1.0,1.0,,,,
lamin_candidate,104,6.7,3.2,254.4,35.7,1.0,1.0,1.0,,,,
lamin_candidate,108,5.3,3.6,91.8,28.8,1.0,1.0,1.0,,,,
lamin_candidate,113,7.4,3.8,198.9,15.9,1.0,1.0,1.0,,,,
lamin_candidate,114,5.6,3.6,200.8,43.6,1.0,1.0,1.0,,,,
lamin_candidate,117,7.1,3.4,230.2,19.9,1.0,1.0,1.0,,,,
lamin_candidate,126,7.8,4.1,234.9,50.1,1.0,1.0,1.0,,,,
lamin_candidate,129,13.3,4.8,275.7,29.3,1.0,1.0,1.0,,,,
lamin_candidate,135,5.0,4.1,49.8,38.0,0.938,0.938,1.0,,,,
lamin_candidate,137,5.1,4.1,99.8,27.2,1.0,1.0,1.0,,,,
lamin_candidate,138,6.1,4.3,137.0,30.0,0.973,0.973,1.0,,,,
lamin_candidate,142,8.2,3.7,221.4,19.1,1.0,1.0,1.0,,,,
