kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,5,22.3,0.9,122.8,81.9,1.0,1.0,1.0,,,,
lamin_candidate,15,29.4,2.8,72.1,79.3,0.0,1.0,0.0,,,,
lamin_candidate,18,5.9,2.5,117.1,30.1,1.0,1.0,1.0,,,,
lamin_candidate,26,35.9,3.2,76.2,62.0,1.0,1.0,1.0,,,,
lamin_candidate,31,5.9,3.1,100.4,33.4,1.0,1.0,1.0,,,,
lamin_candidate,39,5.4,3.4,84.8,14.9,1.0,1.0,1.0,,,,
lamin_candidate,46,24.6,4.4,74.7,115.0,0.0,1.0,0.0,,,,
lamin_candidate,50,7.9,3.9,107.3,35.5,1.0,1.0,1.0,,,,
lamin_candidate,53,5.1,3.7,150.6,59.0,1.0,1.0,1.0,,,,
lamin_candidate,70,7.3,4.0,93.2,21.8,1.0,1.0,1.0,,,,
lamin_candidate,73,5.5,3.2,112.2,55.9,0.029,0.029,0.029,,,,
lamin_candidate,82,57.3,5.1,44.1,59.9,1.0,1.0,1.0,,,,
lamin_candidate,85,18.0,3.9,70.4,47.0,0.019,0.019,0.019,,,,
lamin_candidate,86,43.3,5.6,70.0,102.0,0.0,1.0,0.0,,,,
lamin_candidate,99,18.5,5.3,89.2,99.9,1.0,1.0,1.0,,,,
lamin_candidate,101,13.1,4.7,27.0,98.9,0.0,1.0,0.0,,,,
lamin_candidate,106,7.2,4.8,92.4,30.2,1.0,1.0,1.0,,,,
lamin_candidate,111,5.8,4.9,116.0,64.5,1.0,1.0,1.0,,,,
lamin_candidate,117,5.8,5.0,90.5,44.4,1.0,1.0,1.0,,,,
lamin_candidate,118,5.8,5.1,93.5,16.6,1.0,1.0,1.0,,,,
lamin_candidate,121,40.2,6.0,60.2,104.1,0.0,1.0,0.0,,,,
lamin_candidate,140,82.3,6.2,45.5,79.2,0.0,1.0,0.0,,,,
lamin_candidate,150,23.3,6.7,37.5,113.6,0.0,1.0,0.0,,,,
lamin_candidate,152,5.9,5.9,118.7,44.2,1.0,1.0,1.0,,,,
lamin_candidate,163,6.9,5.5,152.6,121.1,0.005,0.005,0.005,,,,
lamin_candidate,165,5.1,6.6,72.4,43.6,1.0,1.0,1.0,,,,
lamin_candidate,167,7.4,6.6,83.3,25.3,1.0,1.0,1.0,,,,
lamin_candidate,171,6.4,6.9,123.1,49.1,0.996,0.996,1.0,,,,
lamin_candidate,173,6.3,6.9,67.3,18.7,1.0,1.0,1.0,,,,
lamin_candidate,174,7.2,7.0,105.7,25.5,1.0,1.0,1.0,,,,
lamin_candidate,175,5.4,6.5,111.1,38.1,1.0,1.0,1.0,,,,
lamin_candidate,182,5.8,7.2,94.5,45.1,1.0,1.0,1.0,,,,
lamin_candidate,187,6.2,7.4,76.2,22.7,1.0,1.0,1.0,,,,
lamin_candidate,191,6.8,7.6,121.3,31.6,1.0,1.0,1.0,,,,
lamin_candidate,206,10.1,8.3,99.9,33.8,1.0,1.0,1.0,,,,
lamin_candidate,210,6.9,7.8,45.5,13.6,1.0,1.0,1.0,,,,
lamin_candidate,212,5.5,7.9,51.4,13.7,1.0,1.0,1.0,,,,
lamin_candidate,217,9.3,7.9,88.5,24.7,1.0,1.0,1.0,,,,
lamin_candidate,221,6.5,8.4,39.7,17.3,1.0,1.0,1.0,,,,
lamin_candidate,223,5.6,8.0,87.8,44.9,1.0,1.0,1.0,,,,
lamin_candidate,226,31.9,8.4,35.8,95.3,0.0,1.0,0.0,,,,
lamin_candidate,231,6.5,8.9,69.8,46.4,1.0,1.0,1.0,,,,
lamin_candidate,233,6.8,8.2,95.2,29.5,1.0,1.0,1.0,,,,
lamin_candidate,234,7.2,8.6,126.3,47.6,0.991,0.991,1.0,,,,
lamin_candidate,235,28.6,8.2,27.4,83.7,0.0,1.0,0.0,,,,
lamin_candidate,236,6.0,8.7,34.3,30.6,1.0,1.0,1.0,,,,
lamin_candidate,237,5.0,8.5,34.6,41.4,1.0,1.0,1.0,,,,
lamin_candidate,238,5.0,8.6,38.8,45.8,1.0,1.0,1.0,,,,
lamin_candidate,240,5.3,8.6,84.1,47.7,1.0,1.0,1.0,,,,
lamin_candidate,243,8.2,8.5,123.7,39.0,0.984,0.984,1.0,,,,
lamin_candidate,245,6.3,9.1,34.6,19.1,1.0,1.0,1.0,,,,
lamin_candidate,246,6.3,8.5,39.7,40.4,0.997,0.997,1.0,,,,
lamin_candidate,248,9.1,8.6,89.4,18.6,1.0,1.0,1.0,,,,
lamin_candidate,249,5.4,8.4,91.3,46.8,1.0,1.0,1.0,,,,
lamin_candidate,252,6.8,8.8,40.0,12.8,1.0,1.0,1.0,,,,
lamin_candidate,253,22.4,8.3,67.3,78.0,0.0,1.0,0.0,,,,
lamin_candidate,254,5.1,8.8,65.7,11.7,1.0,1.0,1.0,,,,
lamin_candidate,255,8.5,8.8,80.8,21.9,1.0,1.0,1.0,,,,
lamin_candidate,259,5.8,9.3,50.3,46.3,1.0,1.0,1.0,,,,
lamin_candidate,264,6.4,8.7,102.0,25.2,1.0,1.0,1.0,,,,
lamin_candidate,267,5.2,9.1,32.9,35.1,1.0,1.0,1.0,,,,
lamin_candidate,271,6.4,9.3,77.4,16.2,1.0,1.0,1.0,,,,
lamin_candidate,272,8.2,9.0,95.1,22.6,1.0,1.0,1.0,,,,
lamin_candidate,274,7.2,9.4,47.1,8.4,1.0,1.0,1.0,,,,
lamin_candidate,277,5.1,9.2,136.8,48.5,0.922,0.922,1.0,,,,
germ_label,1,29.1,1.5,8.2,152.1,,,,117.4,124.3,0.945,0.439
germ_label,2,33.4,1.8,9.7,154.5,,,,114.4,121.3,0.943,0.428
germ_label,3,8.6,0.8,12.1,152.5,,,,119.8,128.7,0.931,0.448
germ_label,4,28.3,1.6,12.9,150.6,,,,115.9,122.7,0.944,0.433
germ_label,5,11.7,1.1,12.3,147.6,,,,115.0,118.6,0.969,0.43
germ_label,6,38.4,1.5,14.0,158.3,,,,123.3,134.7,0.916,0.461
germ_label,7,37.5,1.4,17.2,163.5,,,,139.8,158.8,0.88,0.523
germ_label,8,15.0,1.1,17.9,167.4,,,,129.4,164.0,0.789,0.484
germ_label,9,18.1,1.5,19.5,170.4,,,,136.7,181.8,0.752,0.511
germ_label,10,13.3,4.3,18.5,168.0,,,,134.2,147.7,0.908,0.502
germ_label,11,6.0,2.3,19.2,166.8,,,,155.7,180.4,0.863,0.582
germ_label,12,9.4,1.1,20.3,167.8,,,,136.2,153.5,0.887,0.509
germ_label,13,29.0,2.2,21.8,170.5,,,,166.1,195.4,0.85,0.621
germ_label,14,10.9,4.2,20.5,169.5,,,,134.5,147.9,0.909,0.503
germ_label,15,10.4,1.0,22.1,173.5,,,,185.6,260.8,0.711,0.694
germ_label,16,49.3,2.9,23.4,173.6,,,,173.5,225.4,0.77,0.649
germ_label,17,13.8,3.5,25.7,175.4,,,,206.1,242.1,0.851,0.771
germ_label,18,17.1,1.2,25.7,173.9,,,,219.5,273.6,0.802,0.821
germ_label,19,13.6,1.4,25.6,176.9,,,,174.1,245.2,0.71,0.651
germ_label,20,7.1,3.8,25.7,176.4,,,,154.8,217.1,0.713,0.579
germ_label,21,11.4,2.7,27.1,166.1,,,,123.6,126.3,0.979,0.462
germ_label,22,9.6,1.1,26.8,155.8,,,,120.8,126.8,0.953,0.452
germ_label,23,8.7,0.9,27.4,167.8,,,,171.0,239.4,0.714,0.64
germ_label,24,15.5,1.5,29.0,174.6,,,,184.6,212.7,0.868,0.69
germ_label,25,4.0,0.5,29.9,155.6,,,,117.4,121.1,0.969,0.439
germ_label,26,8.9,0.8,28.5,157.6,,,,115.4,119.8,0.963,0.432
germ_label,27,16.0,2.4,30.1,156.0,,,,115.3,121.9,0.946,0.431
germ_label,28,10.1,1.1,30.3,166.2,,,,215.0,350.5,0.614,0.804
germ_label,29,34.9,2.3,32.3,157.3,,,,115.4,123.3,0.936,0.431
germ_label,30,26.5,2.0,33.0,167.3,,,,237.9,384.4,0.619,0.89
germ_label,31,51.1,3.9,32.8,172.0,,,,153.0,174.0,0.879,0.572
germ_label,32,38.6,3.0,34.0,159.2,,,,121.0,134.5,0.9,0.453
germ_label,33,12.6,2.1,33.5,171.3,,,,206.7,237.3,0.871,0.773
germ_label,34,4.0,1.0,33.9,171.4,,,,196.2,227.7,0.862,0.734
germ_label,35,28.3,1.8,35.0,169.9,,,,189.1,246.8,0.766,0.707
germ_label,36,26.3,2.2,35.4,173.6,,,,140.6,173.1,0.812,0.526
germ_label,37,32.5,2.1,36.4,160.3,,,,128.7,136.9,0.94,0.482
germ_label,38,13.6,2.0,35.9,164.0,,,,130.3,142.6,0.914,0.487
germ_label,39,40.0,2.5,37.2,167.4,,,,144.5,173.2,0.834,0.54
germ_label,40,13.7,2.8,37.1,185.1,,,,160.8,232.7,0.691,0.601
germ_label,41,15.9,1.6,38.4,163.4,,,,126.5,139.4,0.908,0.473
germ_label,42,49.7,2.2,40.0,182.6,,,,141.1,171.9,0.82,0.528
germ_label,43,13.1,1.7,38.5,158.4,,,,121.6,128.1,0.95,0.455
germ_label,44,14.9,1.7,43.9,164.0,,,,144.1,159.3,0.905,0.539
germ_label,45,45.0,2.2,45.0,167.7,,,,139.2,173.9,0.8,0.52
germ_label,46,18.4,1.2,44.2,173.4,,,,152.6,182.0,0.838,0.571
germ_label,47,15.8,1.6,49.5,168.5,,,,132.5,153.2,0.865,0.496
germ_label,48,18.3,1.5,51.3,179.6,,,,121.3,123.1,0.986,0.454
germ_label,49,32.9,2.2,52.1,183.8,,,,152.6,168.6,0.905,0.571
germ_label,50,26.8,2.2,54.1,160.9,,,,122.7,133.6,0.919,0.459
