short,n_labels,fallback,lamin_nuclei_unlabelled,no_label_at_all,no_ring,no_ring_pct,no_ring_vol,total_vol,n_territories_ge10,sizes,no_ring_vol_pct
HS_herm_011,527,41,18,9,89,17,1824,22036,1,527,8.3
HS_herm_08,808,16,2,2,7,1,168,32819,1,808,0.5
HS_male_008,564,12,11,7,40,7,1077,20877,1,564,5.2
HS_male_009,785,74,4,4,215,27,3707,21794,2,"429, 355, 1",17.0
HS_male_010,634,39,4,2,181,29,4660,20171,1,634,23.1
HS_male_013,291,8,1,1,10,3,70,11825,1,291,0.6
HS_male_10,522,3,11,9,4,1,50,19474,1,522,0.3
noHS_herm_004,960,40,3,3,16,2,517,36011,1,960,1.4
noHS_herm_03,478,10,6,6,2,0,8,22235,1,478,0.0
noHS_male_001,424,0,25,23,1,0,6,16189,1,424,0.0
noHS_male_002,560,78,26,22,96,17,473,18617,1,560,2.5
noHS_male_003,903,177,1,1,413,46,5813,22045,2,"539, 361, 3",26.4
noHS_male_006,887,43,13,3,69,8,477,19988,2,"672, 215",2.4
