image_id,short,sex,treat,batch,n_all,n_no_ring,n_territories,n_kept,territory_note,all_PC,all_zsh,all_PCspec,all_ngran,ring_PC,ring_zsh,ring_PCspec,ring_ngran,ring_terr_PC,ring_terr_zsh,ring_terr_PCspec,ring_terr_ngran,pach_PC,pach_zsh,pach_PCspec,pach_vox_um3
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,HS_herm_011,herm,HS,20260708,527,91,2,435,,1.7895,1.3588,1.317,3045,1.7647,1.341,1.316,2963,1.7632,1.3396,1.3162,2957,1.9535,1.364,1.4322,48533
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,HS_herm_08,herm,HS,20260622,808,7,1,801,,1.4453,1.168,1.2374,4477,1.4533,1.1756,1.2362,4489,1.4533,1.1756,1.2362,4489,1.4481,1.202,1.2047,98306
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,noHS_herm_004,herm,noHS,20260708,960,17,1,943,,1.1665,1.0529,1.1079,8176,1.1709,1.0576,1.1071,8249,1.1709,1.0576,1.1071,8249,1.1234,1.0045,1.1184,81132
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,noHS_herm_03,herm,noHS,20260622,478,2,1,476,,1.1438,1.0454,1.0941,4979,1.1423,1.0436,1.0946,4976,1.1423,1.0436,1.0946,4976,1.1185,1.0344,1.0813,155319
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,HS_male_008,male,HS,20260708,564,40,1,524,,2.0222,1.4042,1.4401,3220,1.9416,1.3447,1.4439,3177,1.9416,1.3447,1.4439,3177,1.8388,1.3164,1.3968,110844
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,HS_male_009,male,HS,20260708,785,215,4,418,,1.8677,1.3927,1.3411,4168,1.7711,1.3177,1.3441,4084,1.6603,1.2374,1.3418,3972,1.613,1.2541,1.2862,58910
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,HS_male_010,male,HS,20260708,634,184,4,327,,1.5453,1.2128,1.2742,1935,1.486,1.1604,1.2806,1794,1.3664,1.0598,1.2893,1620,1.5646,1.2238,1.2785,50403
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,HS_male_013,male,HS,20260708,291,10,1,281,,1.8519,1.2988,1.4259,3564,1.8548,1.3007,1.426,3568,1.8548,1.3007,1.426,3568,1.7251,1.2527,1.3771,44277
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,HS_male_10,male,HS,20260622,522,4,1,518,,1.5176,1.2804,1.1853,3750,1.5134,1.2768,1.1853,3752,1.5134,1.2768,1.1853,3752,1.3902,1.1427,1.2166,201826
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,noHS_male_001,male,noHS,20260708,424,1,1,423,,1.407,1.1675,1.2051,3084,1.4065,1.1671,1.2051,3083,1.4065,1.1671,1.2051,3083,1.2664,1.1038,1.1473,150156
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,noHS_male_002,male,noHS,20260708,560,96,4,436,,1.2953,1.166,1.1109,3852,1.2378,1.1073,1.1179,3733,1.2022,1.0745,1.1188,3681,1.139,1.0636,1.0709,206162
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,noHS_male_003,male,noHS,20260708,903,413,7,361,,1.4501,1.2518,1.1584,4077,1.3,1.1515,1.129,3960,1.2589,1.1314,1.1127,3903,1.1568,1.0897,1.0616,62333
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,noHS_male_006,male,noHS,20260708,887,70,3,298,,1.4742,1.2753,1.156,2701,1.4647,1.2665,1.1565,2661,1.2752,1.1292,1.1293,2527,1.1726,1.1054,1.0608,30710
