image_id,sex,treat,batch,n_nuclei,fallback_n,vol_ratio,lamin_n_gran,lamin_PC_dm,lamin_rot,lamin_zsh,lamin_PC_specific,dapi_n_gran,dapi_PC_dm,dapi_rot,dapi_zsh,dapi_PC_specific
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,20260622,808,16,1.112,4477,1.4453,0.9267,1.168,1.2374,4631,1.4485,0.9439,1.1715,1.2364
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,herm,HS,20260622,809,12,1.087,3481,1.1393,0.9418,0.9702,1.1743,3611,1.1501,0.9186,0.9822,1.1709
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,herm,HS,20260622,1330,139,1.146,7408,1.4058,1.0798,1.185,1.1863,7707,1.3717,1.0465,1.1573,1.1853
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,20260708,527,41,1.129,3045,1.7895,0.9014,1.3588,1.317,3043,1.7614,0.8844,1.3446,1.31
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,herm,noHS,20260622,574,10,1.048,1294,1.459,0.8828,1.2962,1.1256,1263,1.4132,0.8918,1.2827,1.1017
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,herm,noHS,20260622,1512,352,1.406,6851,1.7853,0.9204,1.4877,1.2,7506,1.6737,0.9402,1.416,1.182
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,20260622,478,10,1.098,4979,1.1438,0.8486,1.0454,1.0941,5156,1.1753,0.8594,1.0694,1.099
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,20260708,960,40,1.207,8176,1.1665,1.0114,1.0529,1.1079,8921,1.1596,1.0417,1.0605,1.0934
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_07,male,HS,20260622,509,6,1.03,4000,2.0451,0.9279,1.5012,1.3623,3964,2.02,0.9301,1.4877,1.3578
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,20260622,522,3,1.028,3750,1.5176,0.8642,1.2804,1.1853,3682,1.5099,0.8706,1.2705,1.1884
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_11,male,HS,20260622,879,126,1.306,3880,2.0409,0.766,1.661,1.2287,3847,1.8628,0.7803,1.5362,1.2126
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_13,male,HS,20260622,661,4,1.04,4590,1.5625,1.1987,1.2738,1.2266,4573,1.5529,1.213,1.263,1.2295
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_15,male,HS,20260622,426,0,1.034,2501,1.5389,0.9391,1.3025,1.1815,2479,1.5364,1.0239,1.293,1.1882
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,20260708,564,12,1.084,3220,2.0222,0.9362,1.4042,1.4401,3190,1.9661,0.9301,1.3747,1.4302
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,20260708,785,74,1.169,4168,1.8677,0.9166,1.3927,1.3411,4175,1.8384,0.9079,1.3727,1.3393
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,20260708,634,39,1.173,1935,1.5453,0.7963,1.2128,1.2742,1898,1.5265,0.8227,1.2019,1.2701
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,20260708,291,8,1.023,3564,1.8519,1.2971,1.2988,1.4259,3572,1.8452,1.296,1.296,1.4238
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,male,noHS,20260622,803,77,1.187,4602,1.4195,0.7632,1.2722,1.1158,4562,1.372,0.7555,1.2341,1.1117
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,20260708,424,0,1.02,3084,1.407,0.9872,1.1675,1.2051,3067,1.4257,0.9876,1.1809,1.2073
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,20260708,560,78,1.047,3852,1.2953,0.7198,1.166,1.1109,3865,1.3036,0.726,1.1663,1.1177
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,20260708,903,177,1.257,4077,1.4501,1.041,1.2518,1.1584,4078,1.4072,1.0599,1.2188,1.1546
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,20260708,887,43,1.065,2701,1.4742,0.9082,1.2753,1.156,2703,1.4872,0.9055,1.2883,1.1544
