short,sex,treat,batch,pach_PC,pach_zsh,pach_PCspec,pach_vox_um3,lamin_PC_dm,lamin_zsh,lamin_PC_specific
HS_herm_011,herm,HS,20260708,1.8842,1.3577,1.3878,48013,1.7895,1.3588,1.317
HS_herm_08,herm,HS,20260622,1.4168,1.1911,1.1895,96859,1.4453,1.168,1.2374
noHS_herm_004,herm,noHS,20260708,1.1225,1.0046,1.1174,89711,1.1665,1.0529,1.1079
noHS_herm_03,herm,noHS,20260622,1.1443,1.0618,1.0777,142798,1.1438,1.0454,1.0941
HS_male_008,male,HS,20260708,1.7995,1.2854,1.4,89641,2.0222,1.4042,1.4401
HS_male_009,male,HS,20260708,1.6319,1.2624,1.2927,59545,1.8677,1.3927,1.3411
HS_male_010,male,HS,20260708,1.4231,1.1257,1.2642,30026,1.5453,1.2128,1.2742
HS_male_013,male,HS,20260708,1.6033,1.2203,1.3139,34249,1.8519,1.2988,1.4259
HS_male_10,male,HS,20260622,1.4196,1.1538,1.2304,163851,1.5176,1.2804,1.1853
noHS_male_001,male,noHS,20260708,1.2492,1.0891,1.147,147143,1.407,1.1675,1.2051
noHS_male_002,male,noHS,20260708,1.1355,1.0615,1.0697,167755,1.2953,1.166,1.1109
noHS_male_003,male,noHS,20260708,1.1708,1.0967,1.0676,45737,1.4501,1.2518,1.1584
noHS_male_006,male,noHS,20260708,1.1755,1.1007,1.068,21342,1.4742,1.2753,1.156
