image_id,sex,treat,stage,PC_dm_raw
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,early,1.57
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,mid,1.465
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,late,1.356
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,herm,HS,early,1.351
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,herm,HS,mid,1.391
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,herm,HS,late,1.291
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,herm,HS,early,1.39
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,herm,HS,mid,1.749
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,herm,HS,late,1.642
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_07,male,HS,early,1.853
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_07,male,HS,mid,1.914
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_07,male,HS,late,1.608
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,early,1.55
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,mid,1.417
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,late,1.207
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_11,male,HS,early,1.274
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_11,male,HS,mid,1.463
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_11,male,HS,late,1.458
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_13,male,HS,early,1.503
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_13,male,HS,mid,1.599
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_13,male,HS,late,1.245
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_15,male,HS,early,1.53
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_15,male,HS,mid,1.795
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_15,male,HS,late,1.381
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,herm,noHS,early,1.475
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,herm,noHS,mid,1.668
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,herm,noHS,late,1.643
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,herm,noHS,early,1.309
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,herm,noHS,mid,1.344
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,herm,noHS,late,1.663
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,early,1.257
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,mid,1.169
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,late,1.179
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,male,noHS,early,1.35
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,male,noHS,mid,1.384
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,male,noHS,late,1.307
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,early,2.359
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,mid,1.641
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,late,1.996
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,early,2.002
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,mid,1.916
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,late,1.334
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,early,1.598
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,mid,1.853
