image_id,sex,treat,batch,n_gran,off_axis_cut_um,n_zoned_nuclei,early_PC,early_zsh,early_PCspec,early_vox,mid_PC,mid_zsh,mid_PCspec,mid_vox,late_PC,late_zsh,late_PCspec,late_vox,pach_PC,pach_zsh,pach_PCspec,pach_vox
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,20260622,4477,17.81,236,1.4941,1.1934,1.252,14817181,1.4303,1.1847,1.2073,14070504,1.3929,1.2278,1.1345,12996528,1.4481,1.202,1.2047,41884213
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,20260708,3045,18.1,133,1.8696,1.3069,1.4306,6915360,2.0554,1.373,1.497,8318542,1.8524,1.3523,1.3698,5444354,1.9535,1.364,1.4322,20678256
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,20260622,4979,17.21,161,1.1406,1.0529,1.0833,20048092,1.1624,1.0876,1.0688,22265654,1.111,1.0332,1.0753,23861936,1.1185,1.0344,1.0813,66175682
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,20260708,8176,20.0,289,1.1217,0.9723,1.1537,11756409,1.1482,1.015,1.1312,11508204,1.1199,1.0391,1.0778,11302556,1.1234,1.0045,1.1184,34567169
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,20260622,3750,10.13,150,1.5473,1.1683,1.3244,11650245,1.1948,1.0683,1.1184,35123727,1.1792,1.067,1.1052,39216436,1.3902,1.1427,1.2166,85990408
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,20260708,3220,14.18,162,1.7844,1.2399,1.4391,15104599,1.3393,1.1474,1.1672,22873952,1.4455,1.2134,1.1913,9247747,1.8388,1.3164,1.3968,47226298
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,20260708,4168,12.29,138,1.6719,1.2432,1.3448,12852126,1.1855,1.0773,1.1004,5577610,1.1604,1.0633,1.0913,6669351,1.613,1.2541,1.2862,25099087
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,20260708,1935,10.44,69,1.4048,1.1338,1.239,8950446,1.604,1.2088,1.3269,7041131,1.7456,1.2336,1.415,5483287,1.5646,1.2238,1.2785,21474864
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,20260708,3564,11.77,105,2.1424,1.3899,1.5414,6953147,1.6922,1.2694,1.3331,6779005,1.2399,1.0926,1.1348,5132411,1.7251,1.2527,1.3771,18864563
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,20260708,3084,12.75,119,1.2918,1.1187,1.1547,23315184,1.2329,1.085,1.1363,29762292,1.2493,1.087,1.1493,10898223,1.2664,1.1038,1.1473,63975699
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,20260708,3852,13.8,133,1.162,1.055,1.1014,22727760,1.1366,1.0702,1.062,36762407,1.1472,1.0736,1.0686,28347548,1.139,1.0636,1.0709,87837715
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,20260708,4077,11.89,117,1.1835,1.1223,1.0545,9365369,1.1499,1.0764,1.0683,8938378,1.184,1.0783,1.098,8254002,1.1568,1.0897,1.0616,26557749
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,20260708,2701,11.51,53,1.2091,1.1486,1.0527,4638901,1.1553,1.0674,1.0823,3275559,1.1724,1.1095,1.0567,5169988,1.1726,1.1054,1.0608,13084448
