image_id,batch,sex,treat,short,excl,syp_nuc_p50,syp_cyto_p50,syp_contrast,exp_545,pow_545,exp_477,lamin_PC_dm,lamin_zsh,lamin_PC_specific
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,20260622,herm,HS,HS_herm_08,False,310.0,170.0,4.333333333333333,300.0,97.0,20.0,1.4453,1.168,1.2374
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_14,20260622,herm,HS,HS_herm_14,True,246.0,146.0,4.03030303030303,200.0,97.0,10.0,1.1393,0.9702,1.1743
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_16,20260622,herm,HS,HS_herm_16,True,216.0,144.0,3.1176470588235294,200.0,97.0,30.0,1.4058,1.185,1.1863
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_07,20260622,male,HS,HS_male_07,True,319.0,158.0,5.472222222222222,300.0,97.0,30.0,2.0451,1.5012,1.3623
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,20260622,male,HS,HS_male_10,False,300.0,157.0,4.972222222222222,300.0,97.0,20.0,1.5176,1.2804,1.1853
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_11,20260622,male,HS,HS_male_11,True,222.0,157.0,2.7567567567567566,300.0,97.0,20.0,2.0409,1.661,1.2287
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_13,20260622,male,HS,HS_male_13,True,300.0,154.0,5.294117647058823,300.0,97.0,20.0,1.5625,1.2738,1.2266
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_15,20260622,male,HS,HS_male_15,True,253.0,143.0,4.548387096774194,200.0,97.0,30.0,1.5389,1.3025,1.1815
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_01,20260622,herm,noHS,noHS_herm_01,True,261.0,147.0,4.454545454545454,200.0,97.0,40.0,1.459,1.2962,1.1256
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_02,20260622,herm,noHS,noHS_herm_02,True,239.0,147.0,3.5555555555555554,200.0,97.0,10.0,1.7853,1.4877,1.2
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,20260622,herm,noHS,noHS_herm_03,False,276.0,144.0,5.0,200.0,97.0,10.0,1.1438,1.0454,1.0941
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_male_05,20260622,male,noHS,noHS_male_05,True,232.0,144.0,3.6666666666666665,200.0,97.0,10.0,1.4195,1.2722,1.1158
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,20260708,herm,HS,HS_herm_011,False,185.0,137.0,2.6,200.0,93.0,30.0,1.7895,1.3588,1.317
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,20260708,male,HS,HS_male_008,False,208.0,141.0,3.0303030303030303,200.0,94.0,20.0,2.0222,1.4042,1.4401
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,20260708,male,HS,HS_male_009,False,148.0,118.0,2.3636363636363638,90.0,93.0,9.6,1.8677,1.3927,1.3411
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,20260708,male,HS,HS_male_010,False,180.0,136.0,2.5172413793103448,200.0,93.0,30.0,1.5453,1.2128,1.2742
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,20260708,male,HS,HS_male_013,False,270.0,141.0,5.03125,200.0,93.0,30.0,1.8519,1.2988,1.4259
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,20260708,herm,noHS,noHS_herm_004,False,165.0,122.0,2.7916666666666665,90.0,91.0,20.0,1.1665,1.0529,1.1079
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,20260708,male,noHS,noHS_male_001,False,255.0,138.0,5.0344827586206895,200.0,91.0,30.0,1.407,1.1675,1.2051
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,20260708,male,noHS,noHS_male_002,False,170.0,117.0,3.5238095238095237,90.0,91.0,30.0,1.2953,1.166,1.1109
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,20260708,male,noHS,noHS_male_003,False,147.0,117.0,2.3636363636363638,90.0,91.0,20.0,1.4501,1.2518,1.1584
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,20260708,male,noHS,noHS_male_006,False,150.0,120.0,2.3043478260869565,100.0,89.0,20.0,1.4742,1.2753,1.156
