dataset,geno,sex,treat,syp
Madeleine,msh5/ccw66,herm,HS,316.16052403125246
Madeleine,msh5/ccw66,herm,HS,354.4745869328189
Madeleine,msh5/ccw66,herm,HS,277.1352349760073
Madeleine,msh5/ccw66,herm,HS,282.78364720110574
Madeleine,msh5/ccw66,herm,HS,345.89863377766704
Madeleine,msh5/ccw66,herm,HS,300.0519922806221
Madeleine,msh5/ccw66,herm,HS,557.3161075481006
Madeleine,msh5/ccw66,herm,HS,337.3367759497218
Madeleine,msh5/ccw66,herm,HS,453.6519081377085
Madeleine,msh5/ccw66,herm,HS,297.79474405697283
Madeleine,msh5/ccw66,herm,HS,326.2612292336091
Madeleine,msh5/ccw66,herm,HS,269.54356504918303
Madeleine,msh5/ccw66,herm,HS,249.14698955962007
Madeleine,msh5/ccw66,herm,HS,340.07697342584106
Madeleine,msh5/ccw66,herm,HS,297.7876973733443
Madeleine,msh5/ccw66,herm,HS,264.1626528621802
Madeleine,msh5/ccw66,herm,HS,331.7043270189432
Madeleine,msh5/ccw66,herm,HS,385.0431094049904
Madeleine,msh5/ccw66,herm,HS,400.7131874351476
Madeleine,msh5/ccw66,herm,HS,278.23743353737547
Madeleine,msh5/ccw66,herm,HS,319.40043196544275
Madeleine,msh5/ccw66,herm,HS,328.2829417773238
Madeleine,msh5/ccw66,herm,HS,368.8807451942093
Madeleine,msh5/ccw66,herm,HS,141.26701202031887
Madeleine,msh5/ccw66,herm,HS,275.9159874823756
Madeleine,msh5/ccw66,herm,HS,384.59617739678094
Madeleine,msh5/ccw66,herm,HS,318.4984258854394
Madeleine,msh5/ccw66,herm,HS,260.50352631171046
Madeleine,msh5/ccw66,herm,HS,308.330778638402
Madeleine,msh5/ccw66,herm,HS,310.38616417139906
Madeleine,msh5/ccw66,herm,HS,469.780370459466
Madeleine,msh5/ccw66,herm,HS,286.2757347961533
Madeleine,msh5/ccw66,herm,HS,339.3440714366452
Madeleine,msh5/ccw66,herm,HS,283.78807047500777
Madeleine,msh5/ccw66,herm,HS,258.0652422042643
Madeleine,msh5/ccw66,herm,HS,278.83252403612704
Madeleine,msh5/ccw66,herm,HS,337.843582466099
Madeleine,msh5/ccw66,herm,HS,281.45345215849744
Madeleine,msh5/ccw66,herm,HS,190.45799817563645
Madeleine,msh5/ccw66,herm,HS,343.8745128966413
Madeleine,msh5/ccw66,herm,HS,252.7319086681645
Madeleine,msh5/ccw66,herm,HS,307.13530577784303
Madeleine,msh5/ccw66,herm,HS,252.69273693923284
Madeleine,msh5/ccw66,herm,HS,298.2397226349678
Madeleine,msh5/ccw66,herm,HS,236.7118081180812
Madeleine,msh5/ccw66,herm,HS,284.1131000484888
Madeleine,msh5/ccw66,herm,HS,330.00950901473425
Madeleine,msh5/ccw66,herm,HS,347.089635741598
Madeleine,msh5/ccw66,herm,HS,149.2396283086165
Madeleine,msh5/ccw66,herm,HS,309.8523052180129
Madeleine,msh5/ccw66,herm,HS,275.5633033219497
Madeleine,msh5/ccw66,herm,HS,253.63612811006388
Madeleine,msh5/ccw66,herm,HS,225.3721997413541
Madeleine,msh5/ccw66,herm,HS,300.93170062282275
Madeleine,msh5/ccw66,herm,HS,238.1804828693043
Madeleine,msh5/ccw66,herm,HS,214.82207207207207
Madeleine,msh5/ccw66,herm,HS,289.47969597487867
Madeleine,msh5/ccw66,herm,HS,302.3080742969011
Madeleine,msh5/ccw66,herm,HS,214.62191392225523
Madeleine,msh5/ccw66,herm,HS,311.48179735854575
Madeleine,msh5/ccw66,herm,HS,297.1620649198279
Madeleine,msh5/ccw66,herm,HS,279.85633866979043
Madeleine,msh5/ccw66,herm,HS,219.2319836281245
Madeleine,msh5/ccw66,herm,HS,241.70482621440536
Madeleine,msh5/ccw66,herm,HS,224.82201344033405
Madeleine,msh5/ccw66,herm,HS,241.5796713329276
Madeleine,msh5/ccw66,herm,HS,261.3296987087518
Madeleine,msh5/ccw66,herm,HS,204.77418154761904
Madeleine,msh5/ccw66,herm,HS,297.2810156860941
Madeleine,msh5/ccw66,herm,HS,388.4461863129334
Madeleine,msh5/ccw66,herm,HS,377.4686957626042
Madeleine,msh5/ccw66,herm,HS,263.06023143523146
Madeleine,msh5/ccw66,herm,HS,273.13376361436065
Madeleine,msh5/ccw66,herm,HS,203.6739465875371
Madeleine,msh5/ccw66,herm,HS,182.7604420303428
Madeleine,msh5/ccw66,herm,HS,188.9628275985024
Madeleine,msh5/ccw66,herm,HS,298.9709097562091
Madeleine,msh5/ccw66,herm,HS,174.4037814452812
Madeleine,msh5/ccw66,herm,HS,185.62015644897212
Madeleine,msh5/ccw66,herm,HS,175.84308885754584
Madeleine,msh5/ccw66,herm,HS,197.5646931797733
Madeleine,msh5/ccw66,herm,HS,248.75771296527608
Madeleine,msh5/ccw66,herm,HS,172.95922330097088
Madeleine,msh5/ccw66,herm,HS,339.69101080834224
Madeleine,msh5/ccw66,herm,HS,187.7924874468907
Madeleine,msh5/ccw66,herm,HS,320.131113550433
Madeleine,msh5/ccw66,herm,HS,205.78023541585824
Madeleine,msh5/ccw66,herm,HS,175.67077615780445
Madeleine,msh5/ccw66,herm,HS,282.10278323132
Madeleine,msh5/ccw66,herm,HS,181.07104383358097
Madeleine,msh5/ccw66,herm,HS,190.8035252064588
Madeleine,msh5/ccw66,herm,HS,200.82296728215096
Madeleine,msh5/ccw66,herm,HS,169.56596160899866
Madeleine,msh5/ccw66,herm,HS,226.15861191860463
Madeleine,msh5/ccw66,herm,HS,182.7804647160069
Madeleine,msh5/ccw66,herm,HS,199.50784628691463
Madeleine,msh5/ccw66,herm,HS,177.9106901217862
Madeleine,msh5/ccw66,herm,HS,171.3543119266055
Madeleine,msh5/ccw66,herm,HS,175.1014945652174
Madeleine,msh5/ccw66,herm,HS,171.22212717422298
Madeleine,msh5/ccw66,herm,HS,392.0035297311974
Madeleine,msh5/ccw66,herm,HS,180.7097632349029
Madeleine,msh5/ccw66,herm,HS,188.04031347077097
Madeleine,msh5/ccw66,herm,HS,265.67198508081225
Madeleine,msh5/ccw66,herm,HS,196.74780241151305
Madeleine,msh5/ccw66,herm,HS,186.46775650289015
Madeleine,msh5/ccw66,herm,HS,175.73892138793173
Madeleine,msh5/ccw66,herm,HS,172.84676600067726
Madeleine,msh5/ccw66,herm,HS,229.2190810995557
Madeleine,msh5/ccw66,herm,HS,172.42766163643915
Madeleine,msh5/ccw66,herm,HS,195.27480211081797
Madeleine,msh5/ccw66,herm,HS,207.16097975364576
Madeleine,msh5/ccw66,herm,HS,200.9993460999533
Madeleine,msh5/ccw66,herm,HS,180.5396354387452
Madeleine,msh5/ccw66,herm,HS,169.33958688648855
Madeleine,msh5/ccw66,herm,HS,170.76132278936018
Madeleine,msh5/ccw66,herm,HS,262.750632172729
Madeleine,msh5/ccw66,herm,HS,165.8499173857169
Madeleine,msh5/ccw66,herm,HS,194.9372614867959
Madeleine,msh5/ccw66,herm,HS,188.2326247550128
Madeleine,msh5/ccw66,herm,HS,167.47315611154548
Madeleine,msh5/ccw66,herm,HS,167.97007513052336
Madeleine,msh5/ccw66,herm,HS,195.04002803519973
Madeleine,msh5/ccw66,herm,HS,243.884873834339
Madeleine,msh5/ccw66,herm,HS,189.41936936936935
Madeleine,msh5/ccw66,herm,HS,168.13380793258753
Madeleine,msh5/ccw66,herm,HS,234.0242167980012
Madeleine,msh5/ccw66,herm,HS,166.69195751138088
Madeleine,msh5/ccw66,herm,HS,184.35203903799237
Madeleine,msh5/ccw66,herm,HS,158.4418642416369
Madeleine,msh5/ccw66,herm,HS,163.25040214477212
Madeleine,msh5/ccw66,herm,HS,270.51147028154327
Madeleine,msh5/ccw66,herm,HS,230.4215519158082
Madeleine,msh5/ccw66,herm,HS,169.8164721141375
Madeleine,msh5/ccw66,herm,HS,179.46930358350238
Madeleine,msh5/ccw66,herm,HS,172.7694342226311
Madeleine,msh5/ccw66,herm,HS,215.44596958686583
Madeleine,msh5/ccw66,herm,HS,286.2774203796362
Madeleine,msh5/ccw66,herm,HS,178.59774436090223
Madeleine,msh5/ccw66,herm,HS,216.4530147895336
Madeleine,msh5/ccw66,herm,HS,191.52816434724983
Madeleine,msh5/ccw66,herm,HS,157.93740707701457
Madeleine,msh5/ccw66,herm,HS,220.8135217511776
Madeleine,msh5/ccw66,herm,HS,176.96078950854417
Madeleine,msh5/ccw66,herm,HS,228.27074820346624
Madeleine,msh5/ccw66,herm,HS,166.8340587595212
Madeleine,msh5/ccw66,herm,HS,185.93389858412908
Madeleine,msh5/ccw66,herm,HS,286.66908606768595
Madeleine,msh5/ccw66,herm,HS,294.3268986840019
Madeleine,msh5/ccw66,herm,HS,193.9223548617488
Madeleine,msh5/ccw66,herm,HS,189.4107731769879
Madeleine,msh5/ccw66,herm,HS,194.6204327775807
Madeleine,msh5/ccw66,herm,HS,184.3875450880543
Madeleine,msh5/ccw66,herm,HS,315.99148190660304
Madeleine,msh5/ccw66,herm,HS,171.4033801020408
Madeleine,msh5/ccw66,herm,HS,167.1778403027069
Madeleine,msh5/ccw66,herm,HS,389.2476393704988
Madeleine,msh5/ccw66,herm,HS,210.39246376811596
Madeleine,msh5/ccw66,herm,HS,189.6234756097561
Madeleine,msh5/ccw66,herm,HS,178.68642375842276
Madeleine,msh5/ccw66,herm,HS,170.36833286791398
Madeleine,msh5/ccw66,herm,HS,224.1797855350217
Madeleine,msh5/ccw66,herm,HS,182.87277008059405
Madeleine,msh5/ccw66,herm,HS,289.42104419730134
Madeleine,msh5/ccw66,herm,HS,278.39903106736386
Madeleine,msh5/ccw66,herm,HS,228.01167113339676
Madeleine,msh5/ccw66,herm,HS,167.04723769730734
Madeleine,msh5/ccw66,herm,HS,182.0290730602228
Madeleine,msh5/ccw66,herm,HS,163.537814322593
Madeleine,msh5/ccw66,herm,HS,223.4466957829169
Madeleine,msh5/ccw66,herm,HS,237.06456794089303
Madeleine,msh5/ccw66,herm,HS,170.11414437522902
Madeleine,msh5/ccw66,herm,HS,242.0434659573264
Madeleine,msh5/ccw66,herm,HS,166.36783203847577
Madeleine,msh5/ccw66,herm,HS,181.73089363275116
Madeleine,msh5/ccw66,herm,HS,177.31638182576074
Madeleine,msh5/ccw66,herm,HS,195.64744964687415
Madeleine,msh5/ccw66,herm,HS,177.768148498463
Madeleine,msh5/ccw66,herm,HS,166.36736681040475
Madeleine,msh5/ccw66,herm,HS,193.00383582662064
Madeleine,msh5/ccw66,herm,HS,172.95602977667494
Madeleine,msh5/ccw66,herm,HS,167.10470964791952
Madeleine,msh5/ccw66,herm,HS,188.2351988665115
Madeleine,msh5/ccw66,herm,HS,204.0119208886481
Madeleine,msh5/ccw66,herm,HS,173.0681776640468
Madeleine,msh5/ccw66,herm,HS,171.0133024869867
Madeleine,msh5/ccw66,herm,HS,174.22615066093326
Madeleine,msh5/ccw66,herm,HS,160.8200099717467
Madeleine,msh5/ccw66,herm,HS,172.95465253239104
Madeleine,msh5/ccw66,herm,HS,177.34331609038932
Madeleine,msh5/ccw66,herm,HS,222.4431067961165
Madeleine,msh5/ccw66,herm,HS,175.50384555014912
Madeleine,msh5/ccw66,herm,HS,237.12925717350493
Madeleine,msh5/ccw66,herm,HS,169.60174418604652
Madeleine,msh5/ccw66,herm,HS,166.50617798139663
Madeleine,msh5/ccw66,herm,HS,188.1711150376639
Madeleine,msh5/ccw66,herm,HS,170.72826626924987
Madeleine,msh5/ccw66,herm,HS,182.66650767151603
Madeleine,msh5/ccw66,herm,HS,162.51623686723974
Madeleine,msh5/ccw66,herm,HS,168.88762853811087
Madeleine,msh5/ccw66,herm,HS,170.2315501757126
Madeleine,msh5/ccw66,herm,HS,231.99274725274725
Madeleine,msh5/ccw66,herm,HS,170.2501554146463
Madeleine,msh5/ccw66,herm,HS,163.28906627963232
Madeleine,msh5/ccw66,herm,HS,171.48755000408195
Madeleine,msh5/ccw66,herm,HS,265.4182674199623
Madeleine,msh5/ccw66,herm,HS,160.1659266183688
Madeleine,msh5/ccw66,herm,HS,175.1140817469205
Madeleine,msh5/ccw66,herm,HS,181.2963184079602
Madeleine,msh5/ccw66,herm,HS,165.28328741965106
Madeleine,msh5/ccw66,herm,HS,257.27659778952426
Madeleine,msh5/ccw66,herm,HS,177.70093215950286
Madeleine,msh5/ccw66,herm,HS,133.9443081190654
Madeleine,msh5/ccw66,herm,HS,132.61495553759096
Madeleine,msh5/ccw66,herm,HS,287.1179255341835
Madeleine,msh5/ccw66,herm,HS,250.91483942032977
Madeleine,msh5/ccw66,herm,HS,165.10367577756833
Madeleine,msh5/ccw66,herm,HS,179.98812351543944
Madeleine,msh5/ccw66,herm,HS,265.5169973250111
