nucleus_id,cz,cy,cx,vol_env,r_eq,gap,gap_int,thick,void_big,void_off,offset,syp_io,s_um,s_norm,score,merged,mitotic,crescent,post,cls,row,zone,r_um,off_axis_cut_um
156,0.9474732151322668,4.102800767991298,145.27784233431262,24.740920566,1.8076280914827496,0.6484308334123448,0.0600760456273764,0.6987594390507011,0.9925518708990956,0.3196142840624401,0.3655014533828272,0.909721634931014,-115.88596054876703,0.0,0.0859752903073376,False,False,True,False,TZ,0,off_axis,127.2139876908609,8.72
157,1.0276923076923257,6.422303601398545,149.58619416084017,6.708925079999999,1.1700060593283932,0.3534965034965035,0.0,0.6322336398053001,0.8960739030023095,0.4824567284858174,0.1448931110782485,0.9497551759810636,-117.93817661866497,0.0104723056586245,0.0,False,True,False,False,mitotic,1,off_axis,130.9548837842289,8.72
158,0.8244930736799856,8.855922124071396,148.9945131700484,11.684320217999998,1.4076832634062562,0.5294117647058824,0.1191281473130402,0.5989761092150171,0.7901907356948229,0.5120158597033333,0.1479169303999106,0.9263082454502524,-116.00367049194006,0.0129145521222929,0.1988863086194916,False,False,False,False,pachytene,1,off_axis,129.92393904772797,8.72
1,1.5448740258758136,8.22334346674742,152.13086266172303,31.004147826,1.9488439410450715,0.4789286524930014,0.0769333869454497,0.6833163932045884,0.9959605026929982,0.2214286856848308,0.1662891293434417,0.9944253187726392,-118.89144062425021,0.0171596385888723,0.1125882354214432,False,False,True,False,TZ,2,off_axis,133.1226872897615,8.72
5,1.0054987663024293,12.25034476559756,147.62584102925612,13.309944372,1.4701530311974256,0.3167077899189284,0.0329259166874532,0.6128449832344597,0.416445623342175,0.7962380350870627,0.0268533249540098,0.9915953855477788,-112.87090099893142,0.0181453386769929,0.0537263379618082,False,True,False,False,mitotic,2,off_axis,128.01658258292858,8.72
250,2.754995080940807,12.44021303997845,144.79753587335665,26.228143818,1.8431456220419904,0.6122887040515159,0.1212244070545307,0.605997693194925,0.9945844615705062,0.3206417090983937,0.2751926365137501,1.125039887364056,-110.49529784338306,0.0182850362994473,0.2000410371455618,False,False,False,False,pachytene,2,off_axis,125.19255673602714,8.72
346,4.484737374873382,5.131977786526172,153.0113949386995,20.856312198,1.707587511644246,0.4949949387020582,0.0477200424178154,0.6133630289532294,0.7698251321675478,0.6490230838200224,0.1346589392579572,1.1288018356587115,-121.4518955468834,0.0183311858569204,0.0778006501292634,False,False,True,False,TZ,2,off_axis,134.56623239261032,8.72
4,1.4688429643280425,12.51980502830108,150.52518208503494,35.641750931999994,2.0415348936468374,0.6153086744767671,0.1475864080501677,0.6029084687767322,0.9907754396079562,0.0819869928694025,0.0447854926697162,0.9231063627605162,-115.02748060824781,0.0212548274548009,0.2447907363942198,False,False,False,False,pachytene,2,off_axis,130.8430714581217,8.72
3,0.7630808950086142,11.86250815404492,152.48416316695202,10.903176144,1.3755872432574638,0.4206110154905336,0.0,0.6178982547344969,0.7647058823529411,0.8707370554644941,0.1899527637242166,0.9695196804132082,-116.98863901753734,0.0226651145228124,0.0,False,True,False,False,mitotic,3,off_axis,132.8778219392889,8.72
2,1.6247289740955977,9.794445361177434,154.6207738788075,41.112105228,2.1410511149208715,0.5322378180988245,0.1193468686217639,0.6408880214686509,0.9923065086936452,0.1719155960837988,0.1163397840471197,1.0244641066534004,-119.93899647981547,0.0234560369593963,0.1862210942065513,True,False,False,False,pachytene,3,off_axis,135.31062639167854,8.72
