gonad,coloc,ours
20251105_n2_hs_HERM _,4.0,2
20251105_n2_hs_HERM _,12.0,5
20251105_n2_hs_HERM _,9.0,6
20251105_n2_hs_HERM _,12.0,21
20251105_n2_hs_HERM _,4.0,2
20251105_n2_hs_HERM _,10.0,9
20251105_n2_hs_HERM _,4.0,4
20251105_n2_hs_HERM _,4.0,0
20251105_n2_hs_HERM _,10.0,7
20251105_n2_hs_HERM _,7.0,1
20251105_n2_hs_HERM _,17.0,17
20251105_n2_hs_HERM _,9.0,5
20251105_n2_hs_HERM _,13.0,10
20251105_n2_hs_HERM _,8.0,10
20251105_n2_hs_HERM _,11.0,12
20251105_n2_hs_HERM _,4.0,2
20251105_n2_hs_HERM _,3.0,2
20251105_n2_hs_HERM _,10.0,8
20251105_n2_hs_HERM _,7.0,9
20251105_n2_hs_HERM _,9.0,8
20251105_n2_hs_HERM _,3.0,0
20251105_n2_hs_HERM _,1.0,0
20251105_n2_hs_HERM _,11.0,14
20251105_n2_hs_HERM _,2.0,0
20251105_n2_hs_HERM _,6.0,7
20251105_n2_hs_HERM _,7.0,5
20251105_n2_hs_HERM _,12.0,19
20251105_n2_hs_HERM _,7.0,1
20251105_n2_hs_HERM _,9.0,9
20251105_n2_hs_HERM _,13.0,10
20251105_n2_hs_HERM _,9.0,0
20251105_n2_hs_HERM _,2.0,0
20251105_n2_hs_HERM _,11.0,9
20251105_n2_hs_HERM _,4.0,0
20251105_n2_hs_HERM _,11.0,9
20251105_n2_hs_HERM _,8.0,0
20251105_n2_hs_HERM _,2.0,0
20251105_n2_hs_HERM _,5.0,0
20251105_n2_hs_HERM _,12.0,9
20251105_n2_hs_HERM _,27.0,24
20251105_n2_hs_HERM _,8.0,4
20251105_n2_hs_HERM _,4.0,0
20251105_n2_hs_HERM _,6.0,1
20251105_n2_hs_HERM _,2.0,0
20251105_n2_hs_HERM _,9.0,3
20251105_n2_hs_HERM _,2.0,0
20251105_n2_hs_HERM _,9.0,0
20251105_n2_hs_HERM _,5.0,3
20251105_n2_hs_HERM _,10.0,0
20251105_n2_hs_HERM _,9.0,1
20251105_n2_hs_HERM _,7.0,0
20251105_n2_hs_HERM _,3.0,0
20251105_n2_hs_HERM _,5.0,3
20251105_n2_hs_HERM _,2.0,0
20251105_n2_hs_HERM _,9.0,9
20251105_n2_hs_HERM _,9.0,3
20251105_n2_hs_HERM _,7.0,2
20251105_n2_hs_HERM _,12.0,2
20251105_n2_hs_HERM _,11.0,8
20251105_n2_hs_HERM _,7.0,2
20251105_n2_hs_HERM _,13.0,0
20251105_n2_hs_HERM _,8.0,1
20251105_n2_hs_HERM _,10.0,11
20251105_n2_hs_HERM _,3.0,4
20251105_n2_hs_HERM _,4.0,1
20251105_n2_hs_HERM _,5.0,1
20251105_n2_hs_HERM _,11.0,3
20251105_n2_hs_HERM _,11.0,8
20251105_n2_hs_HERM _,11.0,11
20251105_n2_hs_HERM _,7.0,15
20251105_n2_hs_HERM _,10.0,2
20251105_n2_hs_HERM _,6.0,6
20251105_n2_hs_HERM _,10.0,9
